Départements ,COMMUNE,Code UAI ,Collèges ,Label
Seine-maritime,Saint-Étienne-du-Rouvray,0761777U,LOUISE MICHEL,
Seine-maritime,Saint-Étienne-du-Rouvray,0762133F,PABLO PICASSO,
Seine-maritime,Saint-Étienne-du-Rouvray,0761647C,PAUL ELUARD,
Bouches-du-Rhône,Aix-en-Provence,0310007M,JAS DE BOUFFAN,
Bouches-du-Rhône,Arles,0131610E,VINCENT VAN GOGH,
Bouches-du-Rhône, Aubagne,0132412B,LOU GARLABAN,
Bouches-du-Rhône,Berre-l'Étang,0131705H, FERNAND LÉGER,
Bouches-du-Rhône,Gardanne,0131701D,GABRIEL PÉRI,
Bouches-du-Rhône,Istres,0132409Y,ALPHONSE DAUDET,
Bouches-du-Rhône,Marseille 6e,0132561N,ANATOLE FRANCE,
Bouches-du-Rhône, Marseille 10e, 0134022B,LOUISE MICHEL,
Bouches-du-Rhône, Marseille 10e,0132204A,PONT DE VIVAUX,
