libellé métier,lien site onisep.fr,nom publication,collection,année,gencod,GFE,code ROME,libellé ROME,lien ROME
antiquaire,http://www.onisep.fr/http/redirection/metier/identifiant/10163,,Fiches métiers / onisep.fr,,,"V : Arts, spectacle, audiovisuel",D1201,"Achat vente d'objets d'art, anciens ou d'occasion",http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1201
agent / agente de propreté et d'hygiène,http://www.onisep.fr/http/redirection/metier/identifiant/100292,Les métiers de la propreté et des services associés,Zoom,2017,9782273013796,"T : Environnement, nettoyage, sécurité",K2204,Nettoyage de locaux,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2204
réceptionniste,http://www.onisep.fr/http/redirection/metier/identifiant/10146,Les métiers de l'hôtellerie et de la restauration,Parcours,2018,9782273013895,"S : Hôtellerie, tourisme, loisirs",G1703,Réception en hôtellerie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1703
enseignant-chercheur / enseignante-chercheuse,http://www.onisep.fr/http/redirection/metier/identifiant/10204,Les métiers des langues et de l'international,Parcours,2017,9782273013277,"W : Droit, enseignement, recherche en sciences humaines",K2108,Enseignement supérieur,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2108
enseignant / enseignante d'art,http://www.onisep.fr/http/redirection/metier/identifiant/10207,Les métiers auprès des enfants,Parcours,2015,9782273012294,"W : Droit, enseignement, recherche en sciences humaines",K2105,Enseignement artistique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2105
agent général / agente générale d'assurances,http://www.onisep.fr/http/redirection/metier/identifiant/10088,"Les métiers de la banque, de la finance et de l'assurance",Parcours,2016,9782273012829,"Q : Commerce, gestion, finances",C1103,Courtage en assurances,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1103
orthoptiste,http://www.onisep.fr/http/redirection/metier/identifiant/10233,Les métiers auprès des enfants,Parcours,2015,9782273012294,"R : Santé, social, soins personnels",J1407,Orthoptique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1407
psychomotricien / psychomotricienne,http://www.onisep.fr/http/redirection/metier/identifiant/10231,Les métiers du paramédical,Parcours,2017,9782273013314,"R : Santé, social, soins personnels",J1412,Rééducation en psychomotricité,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1412
technicien forestier / technicienne forestière,http://www.onisep.fr/http/redirection/metier/identifiant/10123,Les métiers de la forêt et du bois,Zoom,2017,9782273013635,A : Agriculture,A1301,Conseil et assistance technique en agriculture,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1301
palefrenier / palefrenière,http://www.onisep.fr/http/redirection/metier/identifiant/10121,Les métiers auprès des animaux,Parcours,2015,9782273012287,A : Agriculture,A1403,Aide d'élevage agricole et aquacole,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1403
