libellé métier,lien site onisep.fr,nom publication,collection,année,gencod,GFE,code ROME,libellé ROME,lien ROME
professeur des écoles / professeure des écoles,http://www.onisep.fr/http/redirection/metier/identifiant/10210,"Les métiers de l'enseignement, de l'éducation et de la formation",Parcours,2013,9782273011464,"W : Droit, enseignement, recherche en sciences humaines",K2106,Enseignement des écoles,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2106
accompagnant éducatif et social / accompagnante éducative et sociale,http://www.onisep.fr/http/redirection/metier/identifiant/10252,Les métiers du social,Parcours,2015,9782273012300,"R : Santé, social, soins personnels",K1302,Assistance auprès d'adultes,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1302
coiffeur / coiffeuse,http://www.onisep.fr/http/redirection/metier/identifiant/10244,,Fiches métiers / onisep.fr,,,"R : Santé, social, soins personnels",D1202,Coiffure,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1202
vétérinaire,http://www.onisep.fr/http/redirection/metier/identifiant/10243,Les métiers de l'agriculture et de la forêt,Parcours,2017,9782273013307,A : Agriculture,A1504,Santé animale,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1504
vétérinaire,http://www.onisep.fr/http/redirection/metier/identifiant/10243,Les métiers auprès des animaux,Parcours,2015,9782273012287,A : Agriculture,A1504,Santé animale,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1504
designer graphique,http://www.onisep.fr/http/redirection/metier/identifiant/10164,Les métiers du design,Parcours,2016,9782273012805,"N : Techniques graphiques, impression",E1205,Réalisation de contenus multimédias,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1205
restaurateur / restauratrice d'oeuvres d'art,http://www.onisep.fr/http/redirection/metier/identifiant/10162,Les métiers de la culture et du patrimoine,Parcours,2017,9782273013338,"V : Arts, spectacle, audiovisuel",B1302,Décoration d'objets d'art et artisanaux,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=B1302
agent / agente de propreté et d'hygiène,http://www.onisep.fr/http/redirection/metier/identifiant/100292,Les métiers de l'environnement et du développement durable,Parcours,2015,9782273012331,"T : Environnement, nettoyage, sécurité",K2204,Nettoyage de locaux,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2204
directeur / directrice d'hôtel,http://www.onisep.fr/http/redirection/metier/identifiant/10145,Les métiers de l'hôtellerie et de la restauration,Parcours,2018,9782273013895,"S : Hôtellerie, tourisme, loisirs",G1402,Management d'hôtel-restaurant,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1402
enseignant-chercheur / enseignante-chercheuse,http://www.onisep.fr/http/redirection/metier/identifiant/10204,Les métiers de la biologie et des biotechnologies,Parcours,2016,9782273012775,"W : Droit, enseignement, recherche en sciences humaines",K2108,Enseignement supérieur,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2108
enseignant / enseignante d'art,http://www.onisep.fr/http/redirection/metier/identifiant/10207,Les études d'art,Dossiers,2018,9782273014052,"W : Droit, enseignement, recherche en sciences humaines",K2105,Enseignement artistique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2105
orthoptiste,http://www.onisep.fr/http/redirection/metier/identifiant/10233,Les métiers du paramédical,Parcours,2017,9782273013314,"R : Santé, social, soins personnels",J1407,Orthoptique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1407
psychomotricien / psychomotricienne,http://www.onisep.fr/http/redirection/metier/identifiant/10231,Les métiers auprès des enfants,Parcours,2015,9782273012294,"R : Santé, social, soins personnels",J1412,Rééducation en psychomotricité,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1412
technicien forestier / technicienne forestière,http://www.onisep.fr/http/redirection/metier/identifiant/10123,Les métiers de l'agriculture et de la forêt,Parcours,2017,9782273013307,A : Agriculture,A1301,Conseil et assistance technique en agriculture,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1301
enseignant / enseignante de la conduite automobile et de la sécurité routière,http://www.onisep.fr/http/redirection/metier/identifiant/10118,Les métiers du transport et de la logistique,Parcours,2016,9782273012836,"O : Transport, logistique",K2110,Formation en conduite de véhicules,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2110
rédacteur / rédactrice en chef,http://www.onisep.fr/http/redirection/metier/identifiant/10196,"Les métiers du journalisme, de la communication et de la documentation",Parcours,2018,9782273013901,"U : Communication, médias",E1106,Journalisme et information média,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1106
attaché / attachée de presse,http://www.onisep.fr/http/redirection/metier/identifiant/10192,Les métiers de l'information et de la communication,Parcours,2018,9782273013901,"U : Communication, médias",E1103,Communication,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1103
bibliothécaire,http://www.onisep.fr/http/redirection/metier/identifiant/10189,Les métiers auprès des enfants,Parcours,2015,9782273012294,"P : Gestion et traitement de l'information (informatique, statistique, documentation)",K1601,Gestion de l'information et de la documentation,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1601
technicien / technicienne de maintenance industrielle,http://www.onisep.fr/http/redirection/metier/identifiant/100283,Les métiers de l'électronique et de la robotique,Parcours,2015,9782273012317,F : Mécanique,I1604,Mécanique automobile et entretien de véhicules,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1604
technicien / technicienne de maintenance industrielle,http://www.onisep.fr/http/redirection/metier/identifiant/100283,Les métiers de l'électronique et de la robotique,Parcours,2015,9782273012317,F : Mécanique,I1302,Installation et maintenance d'automatismes,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1302
tailleur-couturier / tailleuse-couturière,http://www.onisep.fr/http/redirection/metier/identifiant/10396,Les études d'art,Dossiers,2018,9782273014052,"L : Textile, habillement, cuir",B1803,Réalisation de vêtements sur mesure ou en petite série,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=B1803
tailleur-couturier / tailleuse-couturière,http://www.onisep.fr/http/redirection/metier/identifiant/10396,"Artisan, un métier pour demain",Dossiers,2014,9782273011952,"L : Textile, habillement, cuir",B1803,Réalisation de vêtements sur mesure ou en petite série,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=B1803
journaliste,http://www.onisep.fr/http/redirection/metier/identifiant/10197,Les métiers de l'information et de la communication,Parcours,2018,9782273013901,"U : Communication, médias",E1106,Journalisme et information média,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1106
opticien-lunetier / opticienne-lunetière,http://www.onisep.fr/http/redirection/metier/identifiant/10238,Les métiers du paramédical,Parcours,2017,9782273013314,"R : Santé, social, soins personnels",J1405,Optique - lunetterie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1405
ambulancier / ambulancière,http://www.onisep.fr/http/redirection/metier/identifiant/10236,Les métiers du paramédical,Parcours,2017,9782273013314,"R : Santé, social, soins personnels",J1305,Conduite de véhicules sanitaires,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1305
sommelier / sommelière,http://www.onisep.fr/http/redirection/metier/identifiant/10159,Les métiers de l'hôtellerie et de la restauration,Parcours,2018,9782273013895,"S : Hôtellerie, tourisme, loisirs",G1802,Management du service en restauration,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1802
syndic de copropriété,http://www.onisep.fr/http/redirection/metier/identifiant/10083,Les métiers de l'immobilier,Parcours,2018,9782273013918,"Q : Commerce, gestion, finances",C1501,Gérance immobilière,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1501
secrétaire de rédaction,http://www.onisep.fr/http/redirection/metier/identifiant/10200,Les métiers du livre,Parcours,2017,9782273013260,"U : Communication, médias",E1106,Journalisme et information média,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1106
démographe,http://www.onisep.fr/http/redirection/metier/identifiant/10298,,Fiches métiers / onisep.fr,,,"W : Droit, enseignement, recherche en sciences humaines",K2401,Recherche en sciences de l'homme et de la société,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2401
directeur / directrice d'office de tourisme,http://www.onisep.fr/http/redirection/metier/identifiant/100300,Les métiers du tourisme,Parcours,2015,9782273012355,"S : Hôtellerie, tourisme, loisirs",G1102,Promotion du tourisme local,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1102
ingénieur / ingénieure environnement,http://www.onisep.fr/http/redirection/metier/identifiant/100298,Les métiers de l'environnement et du développement durable,Parcours,2015,9782273012331,"T : Environnement, nettoyage, sécurité",,,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=
océanologue,http://www.onisep.fr/http/redirection/metier/identifiant/10287,,Fiches métiers / onisep.fr,,,"T : Environnement, nettoyage, sécurité",F1105,Études géologiques,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1105
géologue,http://www.onisep.fr/http/redirection/metier/identifiant/10283,Les métiers de l'environnement et du développement durable,Parcours,2015,9782273012331,"T : Environnement, nettoyage, sécurité",F1105,Études géologiques,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1105
attaché / attachée de recherche clinique (ARC),http://www.onisep.fr/http/redirection/metier/identifiant/100277,Les métiers de l'industrie du médicament,Zoom,2017,9782273013642,"J : Transformation des matériaux, procédés (biologie, chimie, physique)",J1201,Biologie médicale,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1201
chef / cheffe de publicité,http://www.onisep.fr/http/redirection/metier/identifiant/10185,"Les métiers du marketing, de la publicité et de la vente",Parcours,2016,9782273012799,"U : Communication, médias",E1401,Développement et promotion publicitaire,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1401
directeur / directrice artistique,http://www.onisep.fr/http/redirection/metier/identifiant/10183,Les métiers du livre,Parcours,2017,9782273013260,"U : Communication, médias",E1104,Conception de contenus multimédias,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104
ingénieur / ingénieure du son,http://www.onisep.fr/http/redirection/metier/identifiant/10179,Les études d'art,Dossiers,2018,9782273014052,"U : Communication, médias",L1508,Prise de son et sonorisation,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1508
technicien thermicien / technicienne thermicienne,http://www.onisep.fr/http/redirection/metier/identifiant/10324,Les métiers du bâtiment et des travaux publics,Parcours,2016,9782273012782,"H : Electricité, énergie, électronique",I1308,Maintenance d'installation de chauffage,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1308
affûteur / affûteuse,http://www.onisep.fr/http/redirection/metier/identifiant/10353,Les métiers de la forêt et du bois,Zoom,2017,9782273013635,M : Travail du bois,H2903,Conduite d'équipement d'usinage,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2903
technicien / technicienne en engins de travaux publics,http://www.onisep.fr/http/redirection/metier/identifiant/100232,Les métiers du bâtiment et des travaux publics,Parcours,2016,9782273012782,C : Bâtiment,I1103,Supervision d'entretien et gestion de véhicules,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1103
toiletteur / toiletteuse d'animaux,http://www.onisep.fr/http/redirection/metier/identifiant/10313,Les métiers de la jardinerie,Zoom,2017,9782273013604,A : Agriculture,A1503,Toilettage des animaux,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1503
notaire,http://www.onisep.fr/http/redirection/metier/identifiant/10304,Les métiers du droit,Parcours,2016,9782273012843,"W : Droit, enseignement, recherche en sciences humaines",K1901,Aide et médiation judiciaire,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1901
traducteur-interprète / traductrice-interprète,http://www.onisep.fr/http/redirection/metier/identifiant/10301,Les métiers du livre,Parcours,2017,9782273013260,"U : Communication, médias",E1108,"Traduction, interprétariat",http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1108
psychologue,http://www.onisep.fr/http/redirection/metier/identifiant/10300,Les métiers auprès des enfants,Parcours,2015,9782273012294,"R : Santé, social, soins personnels",K2112,Orientation scolaire et professionnelle,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2112
technicien / technicienne biologiste,http://www.onisep.fr/http/redirection/metier/identifiant/10281,,Fiches métiers / onisep.fr,,,"J : Transformation des matériaux, procédés (biologie, chimie, physique)",H1210,"Intervention technique en études, recherche et développement",http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1210
assistant réalisateur / assistante réalisatrice,http://www.onisep.fr/http/redirection/metier/identifiant/10176,Les métiers du cinéma,Parcours,2018,9782273013871,"U : Communication, médias",L1304,Réalisation cinématographique et audiovisuelle,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1304
couvreur / couvreuse,http://www.onisep.fr/http/redirection/metier/identifiant/10022,Les métiers du bâtiment et des travaux publics,Parcours,2016,9782273012782,C : Bâtiment,F1610,Pose et restauration de couvertures,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1610
ergothérapeute,http://www.onisep.fr/http/redirection/metier/identifiant/10230,Les métiers du paramédical,Parcours,2017,9782273013314,"R : Santé, social, soins personnels",J1403,Ergothérapie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1403
auxiliaire de puériculture,http://www.onisep.fr/http/redirection/metier/identifiant/10226,Les métiers auprès des enfants,Parcours,2015,9782273012294,"R : Santé, social, soins personnels",J1304,Aide en puériculture,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1304
aide-soignant / aide-soignante,http://www.onisep.fr/http/redirection/metier/identifiant/10224,Les métiers auprès des enfants,Parcours,2015,9782273012294,"R : Santé, social, soins personnels",J1501,"Soins d'hygiène, de confort du patient",http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1501
préparateur / préparatrice en pharmacie,http://www.onisep.fr/http/redirection/metier/identifiant/10222,Les métiers du paramédical,Parcours,2017,9782273013314,"R : Santé, social, soins personnels",J1307,Préparation en pharmacie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1307
pharmacien / pharmacienne dans l'industrie,http://www.onisep.fr/http/redirection/metier/identifiant/10220,Les métiers de l'industrie du médicament,Zoom,2017,9782273013642,"J : Transformation des matériaux, procédés (biologie, chimie, physique)",H2502,Management et ingénierie de production,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2502
responsable de formation,http://www.onisep.fr/http/redirection/metier/identifiant/10212,,Fiches métiers / onisep.fr,,,"W : Droit, enseignement, recherche en sciences humaines",M1502,Développement des ressources humaines,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1502
conseiller principal d'éducation / conseillère principale d'éducation,http://www.onisep.fr/http/redirection/metier/identifiant/10214,"Les métiers de l'enseignement, de l'éducation et de la formation",Parcours,2013,9782273011464,"W : Droit, enseignement, recherche en sciences humaines",K2104,Éducation et surveillance au sein d'établissements d'enseignement,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2104
tapissier / tapissière d'ameublement,http://www.onisep.fr/http/redirection/metier/identifiant/10403,,Fiches métiers / onisep.fr,,,"V : Arts, spectacle, audiovisuel",B1806,Tapisserie - décoration en ameublement,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=B1806
sous-officier / sous-officière de l'armée de l'air,http://www.onisep.fr/http/redirection/metier/identifiant/10272,Les métiers de la défense et de la sécurité publique,Parcours,2016,9782273012362,"T : Environnement, nettoyage, sécurité",K1701,Personnel de la Défense,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1701
décorateur / décoratrice-scénographe,http://www.onisep.fr/http/redirection/metier/identifiant/10172,Les métiers du cinéma,Parcours,2018,9782273013871,"V : Arts, spectacle, audiovisuel",L1503,Décor et accessoires spectacle,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1503
concepteur / conceptrice de jeux vidéo,http://www.onisep.fr/http/redirection/metier/identifiant/100301,Les métiers du jeu vidéo,Parcours,2015,9782273012324,"U : Communication, médias",E1104,Conception de contenus multimédias,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104
sapeur-pompier,http://www.onisep.fr/http/redirection/metier/identifiant/10263,,Fiches métiers / onisep.fr,,,"T : Environnement, nettoyage, sécurité",K1705,Sécurité civile et secours,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1705
charpentier / charpentière bois,http://www.onisep.fr/http/redirection/metier/identifiant/10020,Les métiers de la forêt et du bois,Zoom,2017,9782273013635,M : Travail du bois,F1501,Montage de structures et de charpentes bois,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1501
chef / cheffe de produit marketing,http://www.onisep.fr/http/redirection/metier/identifiant/10061,Les métiers de la mode et du luxe,Parcours,2014,9782273011860,"Q : Commerce, gestion, finances",M1703,Management et gestion de produit,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1703
marchandiseur / marchandiseuse,http://www.onisep.fr/http/redirection/metier/identifiant/10064,"Les métiers du marketing, de la publicité et de la vente",Parcours,2016,9782273012799,"Q : Commerce, gestion, finances",D1506,Marchandisage,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1506
ingénieur technico-commercial / ingénieure technico-commerciale,http://www.onisep.fr/http/redirection/metier/identifiant/10066,Les métiers du commerce et de la vente,Parcours,2018,9782273013864,"Q : Commerce, gestion, finances",D1407,Relation technico-commerciale,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1407
ingénieur technico-commercial / ingénieure technico-commerciale,http://www.onisep.fr/http/redirection/metier/identifiant/10066,"Les métiers du marketing, de la publicité et de la vente",Parcours,2016,9782273012799,"Q : Commerce, gestion, finances",D1407,Relation technico-commerciale,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1407
directeur / directrice de magasin à grande surface,http://www.onisep.fr/http/redirection/metier/identifiant/10069,Les métiers du commerce et de la vente,Parcours,2018,9782273013864,"Q : Commerce, gestion, finances",D1504,Direction de magasin de grande distribution,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1504
directeur / directrice de magasin à grande surface,http://www.onisep.fr/http/redirection/metier/identifiant/10069,"Les métiers du marketing, de la publicité et de la vente",Parcours,2016,9782273012799,"Q : Commerce, gestion, finances",D1504,Direction de magasin de grande distribution,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1504
monteur / monteuse en installations thermiques et climatiques,http://www.onisep.fr/http/redirection/metier/identifiant/10023,Les métiers du bâtiment et des travaux publics,Parcours,2016,9782273012782,"H : Electricité, énergie, électronique",F1603,Installation d'équipements sanitaires et thermiques,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1603
gérant / gérante de portefeuille,http://www.onisep.fr/http/redirection/metier/identifiant/10090,"Les métiers de la banque, de la finance et de l'assurance",Parcours,2016,9782273012829,"Q : Commerce, gestion, finances",C1303,Gestion de portefeuilles sur les marchés financiers,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1303
développeur / développeuse informatique,http://www.onisep.fr/http/redirection/metier/identifiant/10053,Les métiers du jeu vidéo,Parcours,2015,9782273012324,"P : Gestion et traitement de l'information (informatique, statistique, documentation)",M1805,Études et développement informatique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1805
manager de risques,http://www.onisep.fr/http/redirection/metier/identifiant/100287,"Les métiers de la banque, de la finance et de l'assurance",Parcours,2016,9782273012829,"Q : Commerce, gestion, finances",M1201,Analyse et ingénierie financière,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1201
acheteur / acheteuse,http://www.onisep.fr/http/redirection/metier/identifiant/10068,Les métiers du commerce et de la distribution,Zoom,2016,9782273012768,"Q : Commerce, gestion, finances",M1101,Achat,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1101
commercial / commerciale export,http://www.onisep.fr/http/redirection/metier/identifiant/100285,"Les métiers du marketing, de la publicité et de la vente",Parcours,2016,9782273012799,"Q : Commerce, gestion, finances",D1402,Relation commerciale grands comptes et entreprises,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1402
vendeur / vendeuse en magasin,http://www.onisep.fr/http/redirection/metier/identifiant/10071,Les métiers du commerce et de la distribution,Zoom,2016,9782273012768,"Q : Commerce, gestion, finances",D1214,Vente en habillement et accessoires de la personne,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1214
vendeur / vendeuse en magasin,http://www.onisep.fr/http/redirection/metier/identifiant/10071,Les métiers du commerce et de la distribution,Zoom,2016,9782273012768,"Q : Commerce, gestion, finances",D1212,Vente en décoration et équipement du foyer,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1212
vendeur / vendeuse en magasin,http://www.onisep.fr/http/redirection/metier/identifiant/10071,Les métiers du commerce et de la distribution,Zoom,2016,9782273012768,"Q : Commerce, gestion, finances",D1106,Vente en alimentation,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1106
caissier / caissière,http://www.onisep.fr/http/redirection/metier/identifiant/10070,,Fiches métiers / onisep.fr,,,"Q : Commerce, gestion, finances",D1505,Personnel de caisse,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1505
boulanger / boulangère,http://www.onisep.fr/http/redirection/metier/identifiant/10074,Les métiers du commerce et de la distribution,Zoom,2016,9782273012768,K : Production alimentaire,D1102,Boulangerie - viennoiserie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1102
boucher / bouchère,http://www.onisep.fr/http/redirection/metier/identifiant/10076,Les métiers du commerce et de la distribution,Zoom,2016,9782273012768,K : Production alimentaire,D1101,Boucherie,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1101
ajusteur-monteur / ajusteuse-monteuse,http://www.onisep.fr/http/redirection/metier/identifiant/100253,Les métiers de l'industrie aéronautique et spatiale,Parcours,2017,9782273013284,F : Mécanique,H2901,Ajustement et montage de fabrication,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2901
technicien électrotechnicien / technicienne électrotechnicienne,http://www.onisep.fr/http/redirection/metier/identifiant/10368,Les métiers de l'énergie,Parcours,2016,9782273012812,"H : Electricité, énergie, électronique",F1602,Électricité bâtiment,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1602
technicien électrotechnicien / technicienne électrotechnicienne,http://www.onisep.fr/http/redirection/metier/identifiant/10368,Les métiers du bâtiment et des travaux publics,Parcours,2016,9782273012782,"H : Electricité, énergie, électronique",I1304,Installation et maintenance d'équipements industriels et d'exploitation,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1304
microtechnicien / microtechnicienne,http://www.onisep.fr/http/redirection/metier/identifiant/10366,,Fiches métiers / onisep.fr,,,F : Mécanique,I1305,Installation et maintenance électronique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1305
mécanicien / mécanicienne et technicien / technicienne moto,http://www.onisep.fr/http/redirection/metier/identifiant/10363,,Fiches métiers / onisep.fr,,,F : Mécanique,I1607,"Réparation de cycles, motocycles et motoculteurs de loisirs",http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1607
monteur-câbleur / monteuse-câbleuse,http://www.onisep.fr/http/redirection/metier/identifiant/100249,,Fiches métiers / onisep.fr,,,"H : Electricité, énergie, électronique",H2602,Câblage électrique et électromécanique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2602
conducteur / conductrice d'engins de travaux publics,http://www.onisep.fr/http/redirection/metier/identifiant/10016,Les métiers du bâtiment et des travaux publics,Parcours,2016,9782273012782,C : Bâtiment,F1302,Conduite d'engins de terrassement et de carrière,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1302
chef de chantier,http://www.onisep.fr/http/redirection/metier/identifiant/100243,Les métiers du bâtiment et des travaux publics,Parcours,2016,9782273012782,C : Bâtiment,F1202,Direction de chantier du BTP,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1202
administrateur / administratrice de biens,http://www.onisep.fr/http/redirection/metier/identifiant/10082,Les métiers du droit,Parcours,2016,9782273012843,"Q : Commerce, gestion, finances",C1501,Gérance immobilière,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1501
ingénieur papetier / ingénieure papetière,http://www.onisep.fr/http/redirection/metier/identifiant/10338,Les métiers des industries des papiers cartons,Zoom,2017,9782273013819,"J : Transformation des matériaux, procédés (biologie, chimie, physique)",H1206,"Management et ingénierie études, recherche et développement industriel",http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206
ingénieur / ingénieure plasturgiste,http://www.onisep.fr/http/redirection/metier/identifiant/10328,,Fiches métiers / onisep.fr,,,"J : Transformation des matériaux, procédés (biologie, chimie, physique)",H2502,Management et ingénierie de production,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2502
verrier / verrière au chalumeau,http://www.onisep.fr/http/redirection/metier/identifiant/10332,,Fiches métiers / onisep.fr,,,"J : Transformation des matériaux, procédés (biologie, chimie, physique)",B1602,Réalisation d'objets artistiques et fonctionnels en verre,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=B1602
moniteur / monitrice de ski,http://www.onisep.fr/http/redirection/metier/identifiant/10256,Les métiers du sport,Parcours,2017,9782273013321,"S : Hôtellerie, tourisme, loisirs",G1204,Éducation en activités sportives,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1204
animateur socioculturel / animatrice socioculturelle,http://www.onisep.fr/http/redirection/metier/identifiant/10253,Les métiers auprès des enfants,Parcours,2015,9782273012294,"S : Hôtellerie, tourisme, loisirs",G1203,Animation de loisirs auprès d'enfants ou d'adolescents,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1203
éducateur sportif / éducatrice sportive,http://www.onisep.fr/http/redirection/metier/identifiant/10254,Les métiers auprès des enfants,Parcours,2015,9782273012294,"S : Hôtellerie, tourisme, loisirs",G1204,Éducation en activités sportives,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1204
conseiller / conseillère agricole,http://www.onisep.fr/http/redirection/metier/identifiant/10024,Les métiers auprès des animaux,Parcours,2015,9782273012287,A : Agriculture,A1301,Conseil et assistance technique en agriculture,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1301
serrurier-métallier / serrurière-métallière,http://www.onisep.fr/http/redirection/metier/identifiant/10030,Les métiers du bâtiment et des travaux publics,Parcours,2016,9782273012782,E : Travail des métaux,H2911,Réalisation de structures métalliques,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2911
menuisier / menuisière,http://www.onisep.fr/http/redirection/metier/identifiant/10029,Les métiers de la forêt et du bois,Zoom,2017,9782273013635,M : Travail du bois,F1607,Pose de fermetures menuisées,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1607
