Département,zipcode,Commune,ETABLISSEMENT,Code UAI,coordinates
Val-de-Marne,94400,Vitry-sur-Seine,François Rabelais,0941224V,"{""type"":""Point"",""coordinates"":[2.3918066,48.7805987]}"
Val-de-Marne,94400,Vitry-sur-Seine,Gustave Monod,0940794C,"{""type"":""Point"",""coordinates"":[2.3801813,48.7895367]}"
Seine-Saint-Denis,93130,Noisy-le-Sec,Olympe de Gouges,0931710D,"{""type"":""Point"",""coordinates"":[2.4695716,48.8878821]}"
Val-de-Marne,94500,Champigny-sur-Marne,Paul Vaillant-Couturier,0941299B,"{""type"":""Point"",""coordinates"":[2.5404563,48.8132632]}"
Seine-Saint-Denis,93200,Saint-Ouen,Dora-Maar,0932582B,"{""type"":""Point"",""coordinates"":[2.3373139,48.9209694]}"
Val-de-Marne,94400,Vitry-sur-Seine,Jean Perrin,0941033M,"{""type"":""Point"",""coordinates"":[2.3798547,48.7950726]}"
Val-de-Marne,94400,Vitry-sur-Seine,Joseph Lakanal,0941034N,"{""type"":""Point"",""coordinates"":[2.383191,48.7937268]}"
Val-de-Marne,94400,Vitry-sur-Seine,Jules Vallès,0941029H,"{""type"":""Point"",""coordinates"":[2.400876,48.7757907]}"
Essonne,91100,Corbeil-Essonnes,La Nacelle,0911443Z,"{""type"":""Point"",""coordinates"":[2.4612703,48.5962199]}"
Essonne,91130,Ris-Orangis,Albert Camus,0911025V,"{""type"":""Point"",""coordinates"":[2.4006481,48.6520249]}"
Essonne,91600,Savigny-sur-Orge,Jean Mermoz,0910716J,"{""type"":""Point"",""coordinates"":[2.3417489,48.6733322]}"
Essonne,91170,Viry-Châtillon,Les Sablons,0910971L,"{""type"":""Point"",""coordinates"":[2.3636069,48.6684962]}"
Essonne,91150,Étampes,de Guinette,0911402E,"{""type"":""Point"",""coordinates"":[2.145408,48.437028]}"
Seine-et-Marne,77350,Le Mée-sur-Seine,Jean de la Fontaine,0772056S,"{""type"":""Point"",""coordinates"":[2.624142,48.5438677]}"
Territoire de Belfort,90000,Belfort,Léonard de Vinci,0900006T,"{""type"":""Point"",""coordinates"":[6.8495961,47.6320146]}"
Yvelines,78711,Mantes-la-Ville,Les Plaisances,0780116C,"{""type"":""Point"",""coordinates"":[1.7048852,48.9739113]}"
Essonne,91700,Sainte-Geneviève-des-Bois,Paul Éluard,0911042N,"{""type"":""Point"",""coordinates"":[2.3440918,48.6364271]}"
Val-d'Oise,95140,Garges-lès-Gonesse,Henri Matisse,0952036X,"{""type"":""Point"",""coordinates"":[2.4067709,48.9656665]}"
Yvelines,78300,Poissy,Le Corbusier,0781101Y,"{""type"":""Point"",""coordinates"":[2.0267921,48.9234898]}"
Var,83500,La Seyne-sur-Mer,Henri Wallon,0830180V,"{""type"":""Point"",""coordinates"":[5.870279,43.1129371]}"
Guyane,97316,Papaichton,Capitaine Charles Tafanier,9730381B,"{""type"":""Point"",""coordinates"":[-54.1921,3.82825]}"
Var,83200,Le Revest-les-Eaux,La Marquisanne,0830181W,"{""type"":""Point"",""coordinates"":[5.8913402,43.1300361]}"
Val-d'Oise,95140,Garges-lès-Gonesse,Pablo Picasso,0951098C,"{""type"":""Point"",""coordinates"":[2.417231,48.9720467]}"
Val-d'Oise,95370,Montigny-lès-Cormeilles,Louis Aragon,0951800R,"{""type"":""Point"",""coordinates"":[2.2037089,48.994684]}"
Val-d'Oise,95310,Saint-Ouen-l'Aumône,Le Parc,0950039B,"{""type"":""Point"",""coordinates"":[2.110802,49.0406918]}"
Val-d'Oise,95310,Saint-Ouen-l'Aumône,Marcel Pagnol,0951195H,"{""type"":""Point"",""coordinates"":[2.1147297,49.0339601]}"
Val-d'Oise,95200,Sarcelles,Anatole France,0950900M,"{""type"":""Point"",""coordinates"":[2.3867,48.981238]}"
Val-d'Oise,95400,Villiers-le-Bel,Léon Blum,0950939E,"{""type"":""Point"",""coordinates"":[2.411596,49.003591]}"
Seine-et-Marne,77190,Dammarie-lès-Lys,Georges Politzer,0771476L,"{""type"":""Point"",""coordinates"":[2.6409835,48.5213032]}"
Seine-et-Marne,77190,Dammarie-lès-Lys,Robert Doisneau,0770019C,"{""type"":""Point"",""coordinates"":[2.6457069,48.5191948]}"
Seine-et-Marne,77350,Le Mée-sur-Seine,Elsa Triolet,0771337K,"{""type"":""Point"",""coordinates"":[2.6352559,48.5449867]}"
Seine-et-Marne,77550,Moissy-Cramayel,Les Maillettes,0771618R,"{""type"":""Point"",""coordinates"":[2.5878704,48.6232026]}"
Seine-et-Marne,77160,Provins,Jules Verne,0771176K,"{""type"":""Point"",""coordinates"":[3.2913068,48.544749]}"
Essonne,91200,Athis-Mons,Michel-Richard Delalande,0911027X,"{""type"":""Point"",""coordinates"":[2.3956222,48.7121117]}"
Jura,39200,Saint-Claude,Pré Saint-Sauveur,0390924T,"{""type"":""Point"",""coordinates"":[5.8691754,46.3807967]}"
Haute-Saône,70800,Saint-Loup-sur-Semouse,André Masson,0700788B,"{""type"":""Point"",""coordinates"":[6.2796621,47.8847057]}"
Nièvre,58200,Cosne-Cours-sur-Loire,Claude Tillier,0580669M,"{""type"":""Point"",""coordinates"":[2.9230392,47.4031053]}"
Saône-et-Loire,71100,Chalon-sur-Saône,Jacques Prévert,0710536X,"{""type"":""Point"",""coordinates"":[4.8455179,46.8132851]}"
Saône-et-Loire,71300,Montceau-les-Mines,Jean Moulin,0710056A,"{""type"":""Point"",""coordinates"":[4.366769,46.6738411]}"
Yvelines,78570,Chanteloup-les-Vignes,Magellan,0781986K,"{""type"":""Point"",""coordinates"":[2.0334459,48.9709591]}"
Yonne,89600,Saint-Florentin,Marcel Aymé,0890024T,"{""type"":""Point"",""coordinates"":[3.7249822,48.0011327]}"
Oise,60000,Beauvais,Charles Fauqueux,0601190T,"{""type"":""Point"",""coordinates"":[2.080269,49.42119]}"
Essonne,91270,Vigneux-sur-Seine,Paul Éluard,0910776Z,"{""type"":""Point"",""coordinates"":[2.4175072,48.7029469]}"
Essonne,91170,Viry-Châtillon,Olivier de Serres,0910056S,"{""type"":""Point"",""coordinates"":[2.3685651,48.6559353]}"
Nord (département français)|Nord,59124,Escaudain,Félicien Joly,0592751V,"{""type"":""Point"",""coordinates"":[3.35173,50.3352]}"
Nord (département français)|Nord,59790,Ronchin,Anatole France,0594865T,"{""type"":""Point"",""coordinates"":[3.08201,50.6108]}"
Nord (département français)|Nord,59580,Aniche,Théodore Monod,0590002G,"{""type"":""Point"",""coordinates"":[3.24514,50.3312]}"
Nord (département français)|Nord,59490,Somain,Victor Hugo,0594405T,"{""type"":""Point"",""coordinates"":[3.27504,50.3611]}"
Pas-de-Calais,62138,Auchy-les-Mines,Joliot-Curie,0622946R,"{""type"":""Point"",""coordinates"":[2.787997,50.517769]}"
Nord (département français)|Nord,59210,Coudekerque-Branche,du Westhoek,0594295Y,"{""type"":""Point"",""coordinates"":[2.4017378,51.0299789]}"
Nord (département français)|Nord,59282,Douchy-les-Mines,Émile Littré,0593484S,"{""type"":""Point"",""coordinates"":[3.3988954,50.2995587]}"
Nord (département français)|Nord,59690,Vieux-Condé,Jean Jaurès,0594412A,"{""type"":""Point"",""coordinates"":[3.5659505,50.4648339]}"
Puy-de-Dôme,63650,Puy-de-Dome,de la Durolle,0631762Y,"{""type"":""Point"",""coordinates"":[3.5990316,45.871736]}"
Rhône,69009,Lyon,Jean de Verrazane,0692703N,"{""type"":""Point"",""coordinates"":[4.8042709,45.7736643]}"
Rhône,69500,Bron,Joliot-Curie,0691479H,"{""type"":""Point"",""coordinates"":[4.9139813,45.7478241]}"
Loire,42500,Le Chambon-Feugerolles,Massenet Fourneyron,0421919H,"{""type"":""Point"",""coordinates"":[4.3337054,45.3985335]}"
Loire,42400,St-Chamond,Pierre Joannon,0421486M,"{""type"":""Point"",""coordinates"":[4.5119121,45.4593113]}"
Loire,42100,Saint-Étienne,Jean Dasté,0421686E,"{""type"":""Point"",""coordinates"":[4.4215263,45.4278349]}"
Loire,42000,Saint-Étienne,Gambetta,0421452A,"{""type"":""Point"",""coordinates"":[4.389708,45.4341085]}"
Seine-et-Marne,77130,Montereau,Paul Éluard,0771567K,"{""type"":""Point"",""coordinates"":[2.9689324,48.4002414]}"
Loire,42000,Saint-Étienne,Claude Fauriel,0421677V,"{""type"":""Point"",""coordinates"":[4.3876565,45.4429143]}"
Rhône,69150,Décines-Charpieu,Georges Brassens,0692157V,"{""type"":""Point"",""coordinates"":[4.9729028,45.768018]}"
Rhône,69008,Lyon,Victor Grignard,0691669P,"{""type"":""Point"",""coordinates"":[4.883788,45.7258181]}"
Rhône,69800,Saint-Priest,Colette,0691497C,"{""type"":""Point"",""coordinates"":[4.943304,45.6901185]}"
Rhône,69400,Villefranche-sur-Saone,Faubert,0691645N,"{""type"":""Point"",""coordinates"":[4.7217879,45.99137]}"
Allier,03320,Lurcy-Lévis,André Boutry,0030021G,"{""type"":""Point"",""coordinates"":[2.9382819,46.7333171]}"
Nord (département français)|Nord,59860,Bruay-sur-l'Escaut,Jean Macé,0590031N,"{""type"":""Point"",""coordinates"":[3.5453439,50.3991816]}"
Nord (département français)|Nord,59360,Le Cateau-Cambrésis,Jean Rostand,0595337F,"{""type"":""Point"",""coordinates"":[3.5316111,50.0991123]}"
Pas-de-Calais,62120,Aire-sur-la-Lys,Jean Jaurès,0622094P,"{""type"":""Point"",""coordinates"":[2.4023988,50.6359857]}"
Nord (département français)|Nord,59000,Lille,Claude Lévi-Strauss,0593179K,"{""type"":""Point"",""coordinates"":[3.0371383,50.6310534]}"
Pas-de-Calais,62420,Billy-Montigny,David Marcelle,0622793Z,"{""type"":""Point"",""coordinates"":[2.9198895,50.415443]}"
Pas-de-Calais,62200,Boulogne-sur-Mer,Angellier,0620051U,"{""type"":""Point"",""coordinates"":[1.609091,50.720849]}"
Pas-de-Calais,62630,Étaples,Jean Jaurès,0622572J,"{""type"":""Point"",""coordinates"":[1.6440263,50.5202189]}"
La Réunion,97416,Saint-Leu,La Chaloupe,9740018B,"{""type"":""Point"",""coordinates"":[55.3198,-21.1507]}"
Oise,60870,Villers-Saint-Paul,Émile Lambert,0601605U,"{""type"":""Point"",""coordinates"":[2.4893922,49.2920285]}"
Ain,01230,Saint-Rambert-en-Bugey,de l'Albarine,0010039M,"{""type"":""Point"",""coordinates"":[5.43263,45.943]}"
Hautes-Alpes,05300,Laragne-Montéglin,Les Hauts de Plaine,0050452P,"{""type"":""Point"",""coordinates"":[5.8218898,44.3196284]}"
Alpes-Maritimes,06300,Nice,Maurice Jaubert,0061131X,"{""type"":""Point"",""coordinates"":[7.2998681,43.7378716]}"
Ardennes,08300,Rethel,Robert de Sorbon,0080897G,"{""type"":""Point"",""coordinates"":[4.3668406,49.511824]}"
Rhône,69008,Lyon,Jean Mermoz,0690060R,"{""type"":""Point"",""coordinates"":[4.8883044,45.7335444]}"
Rhône,69007,Lyon,Gabriel Rosset,0692578C,"{""type"":""Point"",""coordinates"":[4.8404655,45.7290703]}"
Gironde,33800,Bordeaux,Aliénor d'Aquitaine,0332768E,"{""type"":""Point"",""coordinates"":[-0.5606921,44.8294125]}"
Ardennes,08700,Nouzonville,Jean Rogissart,0080036W,"{""type"":""Point"",""coordinates"":[4.74736,49.8137]}"
Aube,10000,Troyes,Pierre et François Pithou,0100947A,"{""type"":""Point"",""coordinates"":[4.0615963,48.3080895]}"
Pas-de-Calais,62700,Bruay-la-Buissière,Simone Signoret,0623314R,"{""type"":""Point"",""coordinates"":[2.5469,50.4831]}"
Seine-Maritime,76000,Rouen,Georges Braque,0761780X,"{""type"":""Point"",""coordinates"":[1.141079,49.4512355]}"
Ardennes,08200,Sedan,Le Lac,0080826E,"{""type"":""Point"",""coordinates"":[4.940908,49.6936277]}"
Corse-du-Sud,20000,Ajaccio,Laëtitia Bonaparte,6200011T,"{""type"":""Point"",""coordinates"":[8.7335842,41.9255318]}"
Haute-Corse,20200,Bastia,Saint-Joseph,7200012A,"{""type"":""Point"",""coordinates"":[9.4478644,42.6911202]}"
Bouches-du-Rhône,13200,Arles,Ampère,0132572A,"{""type"":""Point"",""coordinates"":[4.6268872,43.6730268]}"
Bouches-du-Rhône,13003,Marseille,Belle de Mai,0131884C,"{""type"":""Point"",""coordinates"":[5.38778,43.3143]}"
Bouches-du-Rhône,13014,Marseille,Clair Soleil,0132404T,"{""type"":""Point"",""coordinates"":[5.3857691,43.3237766]}"
Bouches-du-Rhône,13014,Marseille,Marie Laurencin,0133775H,"{""type"":""Point"",""coordinates"":[5.3875815,43.319204]}"
Bouches-du-Rhône,13002,Marseille,Vieux-Port,0130136C,"{""type"":""Point"",""coordinates"":[5.36519,43.2962]}"
Calvados,14123,Fleury-sur-Orne,Stephen Hawking,0141553M,"{""type"":""Point"",""coordinates"":[-0.360711,49.1581]}"
Gard,30900,Nîmes,Condorcet,0300141R,"{""type"":""Point"",""coordinates"":[4.3369192,43.8283434]}"
Calvados,14230,Isigny-sur-Mer,du Val d'Aure,0141257R,"{""type"":""Point"",""coordinates"":[-1.1047589,49.3188746]}"
Corrèze,19316,Brive-la-Gaillarde,Jean Moulin,0190635M,"{""type"":""Point"",""coordinates"":[1.4942426,45.1564158]}"
Pas-de-Calais,62000,Arras,Charles Péguy,0622789V,"{""type"":""Point"",""coordinates"":[2.7509084,50.3004149]}"
Gironde,33000,Bordeaux,Auguste Blanqui,0331753B,"{""type"":""Point"",""coordinates"":[-0.5499603,44.8740374]}"
Essonne,91940,Les Ulis,Aimé Césaire,0911334F,"{""type"":""Point"",""coordinates"":[2.16305,48.6826]}"
Côte-d'Or,21500,Montbard,Louis Pasteur,0210034Y,"{""type"":""Point"",""coordinates"":[4.3415751,47.6340605]}"
Doubs,25600,Sochaux,Jouffroy d'Abbans,0250056A,"{""type"":""Point"",""coordinates"":[6.8418941,47.5120822]}"
Isère,38100,Grenoble,Vercors,0381604M,"{""type"":""Point"",""coordinates"":[5.7439697,45.177194]}"
