NUMERO_UAI,Région,Département,Code_commune_Insee,Libellé Commune,Dénomination établissement,Patromyne établissement,Adresse_établissement,Code_postal,Type_établissement,Rep+,Rep,DISTANCE_QPV le plus proche,QPV,Qualité
0271513Y,Normandie,27,27701,VAL DE REUIL,COLLEGE,PIERRE MENDES-FRANCE,59 RUE GRANDE,27106,COLLEGE,Non,Oui,0,QP027008,MOYENNE
0280918W,Centre-Val de Loire,28,28088,CHATEAUDUN,COLLEGE,ANATOLE FRANCE,5 RUE ANATOLE FRANCE,28200,COLLEGE,Non,Oui,"4,267594635",QP028009,MOYENNE
0280656L,Centre-Val de Loire,28,28088,CHATEAUDUN,COLLEGE,TOMAS DIVI,RUE PIERRE BROSSOLETTE,28200,COLLEGE,Non,Oui,"67,57652782",QP028009,BONNE
0280716B,Centre-Val de Loire,28,28134,DREUX,COLLEGE,PIERRE ET MARIE CURIE,49 RUE DU LIEVRE D OR,28102,COLLEGE,Oui,Non,"41,25825127",QP028008,BONNE
0280865N,Centre-Val de Loire,28,28134,DREUX,COLLEGE,LOUIS ARMAND,1 PLACE LOUIS ARMAND,28100,COLLEGE,Oui,Non,"86,12176945",QP028006,BONNE
0281060A,Centre-Val de Loire,28,28134,DREUX,COLLEGE,MARTIAL TAUGOURDEAU,18 RUE DU DOCTEUR DURAND,28109,COLLEGE,Non,Oui,"220,8293757",QP028008,BONNE
0280034K,Centre-Val de Loire,28,28229,MAINVILLIERS,COLLEGE,JEAN MACE,3 PLACE JEAN MACE,28300,COLLEGE,Non,Oui,"252,5185117",QP028005,BONNE
0280924C,Centre-Val de Loire,28,28280,NOGENT LE ROTROU,COLLEGE,PIERRE BROSSOLETTE,4 AVENUE DU PRESIDENT KENNEDY,28400,COLLEGE,Non,Oui,"81,2564421",QP028010,BONNE
0290149E,Bretagne,29,29019,BREST,COLLEGE,KERHALLET,3 RUE DE TOURAINE,29231,COLLEGE,Non,Oui,"145,4203623",QP029004,BONNE
0290100B,Bretagne,29,29019,BREST,COLLEGE,PENN AR C'HLEUZ,71  RUE DE KERMARIA,29222,COLLEGE,Non,Oui,"270,7878158",QP029006,BONNE
0291087Z,Bretagne,29,29232,QUIMPER,COLLEGE,MAX JACOB,2 RUE DE KERJESTIN,29191,COLLEGE,Non,Oui,"68,81075484",QP029002,BONNE
0301013N,Occitanie,30,30007,ALES,COLLEGE,JEAN MOULIN,1 AVENUE JEAN BAPTISTE DUMAS,30103,COLLEGE,Oui,Non,0,QP030001,BONNE
0301014P,Occitanie,30,30007,ALES,COLLEGE,DENIS DIDEROT,3 AVENUE JEAN BAPTISTE DUMAS,30107,COLLEGE,Non,Oui,0,QP030001,BONNE
0301208A,Occitanie,30,30032,BEAUCAIRE,COLLEGE,EUGENE VIGNE,1 RUE HENRI SOULIER,30301,COLLEGE,Oui,Non,"118,8926559",QP030013,BONNE
0301282F,Occitanie,30,30032,BEAUCAIRE,COLLEGE,ELSA TRIOLET,PLACE RHIN ET DANUBE,30301,COLLEGE,Non,Oui,"277,2989797",QP030012,BONNE
0301012M,Occitanie,30,30132,LA GRAND COMBE,COLLEGE,LEO LARGUIER,PLACE JEAN JAURES,30110,COLLEGE,Non,Oui,0,QP030016,BONNE
