NUMERO_UAI,Région,Département,Code_commune_Insee,Libellé Commune,Dénomination établissement,Patromyne établissement,Adresse_établissement,Code_postal,Type_établissement,Rep+,Rep,DISTANCE_QPV le plus proche,QPV,Qualité
0470677F,Nouvelle Aquitaine,47,47001,AGEN,COLLEGE,DUCOS DU HAURON,AVENUE GEORGES CUVIER,47000,COLLEGE,Non,Oui,"101,3168122",QP047001,BONNE
0470102F,Nouvelle Aquitaine,47,47252,STE LIVRADE SUR LOT,COLLEGE,PAUL FROMENT,AVENUE JEAN MOULIN,47110,COLLEGE,Non,Oui,"3,819382978",QP047004,MOYENNE
0490060Z,Pays de la Loire,49,49007,ANGERS,COLLEGE,JEAN LURCAT,BOULEVARD ROBERT SCHUMAN,49017,COLLEGE,Oui,Non,0,QP049005,MOYENNE
0491703K,Pays de la Loire,49,49007,ANGERS,COLLEGE,JEAN VILAR,21 RUE FRANCOIS MAURIAC,49035,COLLEGE,Oui,Non,0,QP049002,BONNE
0490783K,Pays de la Loire,49,49007,ANGERS,COLLEGE,JEAN MERMOZ,26 RUE DU MARECHAL JUIN,49035,COLLEGE,Non,Oui,"94,72597409",QP049002,BONNE
0491028B,Pays de la Loire,49,49007,ANGERS,COLLEGE,MONTAIGNE,1 RUE JOSEPH CUSSONNEAU,49100,COLLEGE,Non,Oui,"246,7567819",QP049004,BONNE
0490042E,Pays de la Loire,49,49328,SAUMUR,COLLEGE,PIERRE MENDES FRANCE,45 RUE DU DOCTEUR SCHWEITZER,49405,COLLEGE,Non,Oui,0,QP049013,BONNE
0490048L,Pays de la Loire,49,49353,TRELAZE,COLLEGE,JEAN ROSTAND,142 AVENUE DE LA REPUBLIQUE,49800,COLLEGE,Non,Oui,0,QP049008,BONNE
0501205N,Normandie,50,50129,CHERBOURG OCTEVILLE,COLLEGE,LES PROVINCES,2 RUE DE CHAMPAGNE,50130,COLLEGE,Oui,Non,0,QP050005,MOYENNE
0511251H,Grand Est,51,51454,REIMS,COLLEGE,JOLIOT-CURIE,2 RUE JOLIOT CURIE,51096,COLLEGE,Oui,Non,0,QP051003,BONNE
0511214T,Grand Est,51,51454,REIMS,COLLEGE,TROIS FONTAINES,247 RUE PAUL VAILLANT COUTURIER,51100,COLLEGE,Non,Oui,"47,8072301",QP051008,BONNE
0510044W,Grand Est,51,51454,REIMS,COLLEGE,COLBERT,56 RUE DU DR SCHWEITZER,51096,COLLEGE,Oui,Non,"102,4612303",QP051005,BONNE
0511254L,Grand Est,51,51454,REIMS,COLLEGE,FRANCOIS LEGROS,2 RUE FRANCOIS LEGROS,51573,COLLEGE,Non,Oui,"190,112501",QP051004,BONNE
0511802G,Grand Est,51,51454,REIMS,COLLEGE,GEORGES BRAQUE,3 RUE ADRIEN SENECHAL,51100,COLLEGE,Oui,Non,"194,5712313",QP051003,BONNE
0511108C,Grand Est,51,51454,REIMS,COLLEGE,PAUL FORT,141 RUE DE LOUVOIS,51100,COLLEGE,Oui,Non,"241,3961646",QP051004,BONNE
0520737U,Grand Est,52,52121,CHAUMONT,COLLEGE,LA ROCHOTTE,5 RUE BLAISE PASCAL,52904,COLLEGE,Non,Oui,"113,0670178",QP052001,MOYENNE
0520049W,Grand Est,52,52448,ST DIZIER,COLLEGE,ANNE FRANK,1 BOULEVARD SALVADOR ALLENDE,52105,COLLEGE,Oui,Non,0,QP052004,MOYENNE
0520050X,Grand Est,52,52448,ST DIZIER,COLLEGE,LUIS ORTIZ,17 AVENUE PARCHIM,52108,COLLEGE,Non,Oui,"224,1969104",QP052004,BONNE
0530484N,Pays de la Loire,53,53130,LAVAL,COLLEGE,ALAIN GERBAULT,4 RUE MORTIER,53000,COLLEGE,Oui,Non,"68,43968635",QP053003,BONNE
0541817G,Grand Est,54,54274,JARVILLE LA MALGRANGE,COLLEGE,ALBERT CAMUS,3 RUE DE LA REPUBLIQUE,54140,COLLEGE,Non,Oui,"181,8322348",QP054012,BONNE
0541469D,Grand Est,54,54304,LAXOU,COLLEGE,LA FONTAINE,6 RUE DE LA MOSELLE,54520,COLLEGE,Oui,Non,"65,12322631",QP054014,BONNE
0541578X,Grand Est,54,54321,LONGLAVILLE,COLLEGE,DES TROIS FRONTIERES,1 RUE DU STADE,54810,COLLEGE,Non,Oui,"191,8242179",QP054003,BONNE
0540088C,Grand Est,54,54382,MONT ST MARTIN,COLLEGE,ANATOLE FRANCE,21 RUE DE LILLE,54350,COLLEGE,Non,Oui,0,QP054005,BONNE
0550701N,Grand Est,55,55029,BAR LE DUC,COLLEGE,JACQUES PREVERT,1 RUE D'ANJOU,55012,COLLEGE,Oui,Non,"4,946505175",QP055001,MOYENNE
0550758A,Grand Est,55,55545,VERDUN,COLLEGE,MAURICE BARRES,2 RUE CHARLEMAGNE,55100,COLLEGE,Non,Oui,0,QP055002,MOYENNE
0560055F,Bretagne,56,56260,VANNES,COLLEGE,MONTAIGNE,13 RUE MONTAIGNE,56000,COLLEGE,Non,Oui,0,QP056008,BONNE
0573268T,Grand Est,57,57058,BEHREN LES FORBACH,COLLEGE,ROBERT SCHUMAN,RUE ROBERT SCHUMAN,57460,COLLEGE,Oui,Non,"81,29392637",QP057002,BONNE
0572491Y,Grand Est,57,57332,HOMBOURG HAUT,COLLEGE,ROBERT SCHUMAN,75 RUE BEAU SITE,57470,COLLEGE,Oui,Non,"64,25276998",QP057012,BONNE
0570127D,Grand Est,57,57463,METZ,COLLEGE,LES HAUTS DE BLEMONT,11 RUE DU DAUPHINE,57070,COLLEGE,Oui,Non,"4,499383641",QP057020,MOYENNE
0572587C,Grand Est,57,57631,SARREGUEMINES,COLLEGE,JEAN JAURES,20 RUE DES ETANGS,57216,COLLEGE,Non,Oui,"187,1606795",QP057010,BONNE
0570318L,Grand Est,57,57683,UCKANGE,COLLEGE,JEAN MOULIN,1 RUE JEAN MOULIN,57270,COLLEGE,Non,Oui,"251,0497862",QP057006,BONNE
0572579U,Grand Est,57,57751,WOIPPY,COLLEGE,JULES FERRY,25 RUE DU FORT GAMBETTA,57140,COLLEGE,Oui,Non,0,QP057023,BONNE
0580669M,Bourgogne-Franche-Comté,58,58086,COSNE COURS SUR LOIRE,COLLEGE,CLAUDE TILLIER,AVENUE DU 85EME DE LIGNE,58208,COLLEGE,Non,Oui,0,QP058005,BONNE
0580682B,Bourgogne-Franche-Comté,58,58194,NEVERS,COLLEGE,LES COURLIS,BOULEVARD LEON BLUM,58018,COLLEGE,Non,Oui,0,QP058004,BONNE
0590002G,Hauts de France,59,59008,ANICHE,COLLEGE,THEODORE MONOD,5 RUE DU BICENTENAIRE DE LA REVO,59580,COLLEGE,Non,Oui,"121,2017747",QP059034,MOYENNE
0590006L,Hauts de France,59,59014,ANZIN,COLLEGE,JULES FERRY,1 RUE JULES FERRY,59416,COLLEGE,Non,Oui,"294,8790973",QP059021,MOYENNE
0594297A,Hauts de France,59,59028,AUBY,COLLEGE,VICTOR HUGO,RUE JULES GUESDE,59950,COLLEGE,Non,Oui,"75,61041133",QP059002,MOYENNE
0594301E,Hauts de France,59,59079,BEUVRAGES,COLLEGE,PAUL ELUARD,60 RUE EMILE ZOLA,59192,COLLEGE,Oui,Non,"67,31337391",QP059021,BONNE
0590050J,Hauts de France,59,59153,CONDE SUR L ESCAUT,COLLEGE,JOSQUIN DES PRES,6  AV LOUIS FRANQUET,59163,COLLEGE,Oui,Non,"129,6755267",QP059024,BONNE
0594295Y,Hauts de France,59,59155,COUDEKERQUE BRANCHE,COLLEGE,DU WESTHOEK,RUE HOCHE,59210,COLLEGE,Non,Oui,"134,2022765",QP059060,BONNE
0594299C,Hauts de France,59,59172,DENAIN,COLLEGE,TURGOT,1  RUE SCHEURER KESTNER,59220,COLLEGE,Oui,Non,0,QP059050,BONNE
0590062X,Hauts de France,59,59172,DENAIN,COLLEGE,VILLARS,57 RUE EMILE ZOLA,59721,COLLEGE,Non,Oui,"49,502006",QP059050,BONNE
0594300D,Hauts de France,59,59172,DENAIN,COLLEGE,BAYARD,RUE DU STADE BAYARD,59723,COLLEGE,Oui,Non,"50,80692026",QP059050,BONNE
0593484S,Hauts de France,59,59179,DOUCHY LES MINES,COLLEGE,EMILE LITTRE,AVENUE ANATOLE FRANCE,59282,COLLEGE,Non,Oui,"48,05328443",QP059051,BONNE
0593664M,Hauts de France,59,59183,DUNKERQUE,COLLEGE,LUCIE AUBRAC,17 RUE DE CAHORS,59640,COLLEGE,Oui,Non,"4,104837773",QP059062,MOYENNE
0590200X,Hauts de France,59,59183,DUNKERQUE,COLLEGE,ROBESPIERRE,RUE MAURICE THOREZ,59430,COLLEGE,Non,Oui,"38,20067148",QP059062,BONNE
0593663L,Hauts de France,59,59183,DUNKERQUE,COLLEGE,JEAN DECONINCK,RUE GABRIEL,59430,COLLEGE,Non,Oui,"277,1582503",QP059061,MOYENNE
0594168K,Hauts de France,59,59225,FEIGNIES,COLLEGE,JEAN ZAY,RUE DE LA CHAUSSEE BRUNEHAUT,59750,COLLEGE,Non,Oui,"255,9068349",QP059011,MOYENNE
0594879H,Hauts de France,59,59249,FOURMIES,COLLEGE,JOLIOT CURIE,AVENUE JOLIOT CURIE,59612,COLLEGE,Non,Oui,0,QP059044,MOYENNE
0590088A,Hauts de France,59,59271,GRANDE SYNTHE,COLLEGE,JULES VERNE,RUE SALVADOR ALLENDE,59791,COLLEGE,Oui,Non,"32,43497322",QP059064,BONNE
0595782P,Hauts de France,59,59271,GRANDE SYNTHE,COLLEGE,DU MOULIN,21 RUE DU COMTE DE FLANDRE,59791,COLLEGE,Oui,Non,"61,69972714",QP059064,BONNE
0592634T,Hauts de France,59,59291,HAUTMONT,COLLEGE,ANTOINE DE SAINT EXUPERY,140 AVENUE HEBBURN,59330,COLLEGE,Non,Oui,"41,68252164",QP059013,BONNE
0594632P,Hauts de France,59,59299,HEM,COLLEGE,RAYMOND DEVOS,40 RUE JEAN JAURES,59510,COLLEGE,Non,Oui,"221,1224475",QP059071,BONNE
0590109Y,Hauts de France,59,59324,JEUMONT,COLLEGE,EUGENE THOMAS,212 RUE DE LA TOUR,59573,COLLEGE,Oui,Non,"61,3031834",QP059014,BONNE
0593235W,Hauts de France,59,59350,LILLE,COLLEGE,BORIS VIAN,260 BIS RUE PIERRE LEGRAND,59007,COLLEGE,Oui,Non,0,QP059075,BONNE
0594288R,Hauts de France,59,59350,LILLE,COLLEGE,LOUISE MICHEL,14 RUE DE CANNES,59000,COLLEGE,Oui,Non,0,QP059074,BONNE
0596833G,Hauts de France,59,59350,LILLE,COLLEGE,DE WAZEMMES,53 BOULEVARD MONTEBELLO,59000,COLLEGE,Oui,Non,"44,42434741",QP059074,BONNE
0593660H,Hauts de France,59,59360,LOOS,COLLEGE,RENE DESCARTES,RUE EDOUARD HERRIOT,59373,COLLEGE,Oui,Non,0,QP059077,MOYENNE
0594533G,Hauts de France,59,59361,LOURCHES,COLLEGE,VOLTAIRE,700 RUE JEAN JAURES,59156,COLLEGE,Non,Oui,"208,8815531",QP059052,BONNE
0594362W,Hauts de France,59,59392,MAUBEUGE,COLLEGE,VAUBAN,115 RUE DE DOUZIES,59602,COLLEGE,Oui,Non,"31,58726908",QP059019,BONNE
0593254S,Hauts de France,59,59392,MAUBEUGE,COLLEGE,JULES VERNE (EPINETTE),BOULEVARD PIERRE CORNEILLE,59601,COLLEGE,Oui,Non,"148,0839424",QP059018,MOYENNE
0593178J,Hauts de France,59,59410,MONS EN BAROEUL,COLLEGE,FRANCOIS RABELAIS,AVENUE DU CHANCELIER ADENAUER,59370,COLLEGE,Oui,Non,"151,5533269",QP059080,BONNE
0594290T,Hauts de France,59,59452,OSTRICOURT,COLLEGE,HENRI MATISSE,AV DU MARECHAL LECLERC,59162,COLLEGE,Non,Oui,"53,45292471",QP059045,MOYENNE
0596529B,Hauts de France,59,59456,PECQUENCOURT,COLLEGE,MAURICE SCHUMANN,RUE GUSTAVE COLIEZ,59146,COLLEGE,Non,Oui,"193,7897574",QP059038,BONNE
0590183D,Hauts de France,59,59512,ROUBAIX,COLLEGE,MADAME DE SEVIGNE,20 RUE JULES DEREGNAUCOURT,59100,COLLEGE,Oui,Non,0,QP059082,BONNE
0590190L,Hauts de France,59,59512,ROUBAIX,COLLEGE,JEAN-BAPTISTE LEBAS,82 RUE DUPUY DE LOME,59100,COLLEGE,Oui,Non,0,QP059082,BONNE
0593667R,Hauts de France,59,59512,ROUBAIX,COLLEGE,ALBERT SAMAIN,66 RUE D'ALGER,59058,COLLEGE,Oui,Non,0,QP059082,BONNE
0594389A,Hauts de France,59,59512,ROUBAIX,COLLEGE,ANNE FRANK,314 AVENUE DES NATIONS UNIES,59058,COLLEGE,Oui,Non,0,QP059082,MOYENNE
0595168X,Hauts de France,59,59512,ROUBAIX,COLLEGE,MAXENCE VAN DER MEERSCH,1 AVENUE MAXENCE VAN DER MEERSCH,59052,COLLEGE,Oui,Non,"113,0283643",QP059082,BONNE
0594634S,Hauts de France,59,59512,ROUBAIX,COLLEGE,THEODORE MONOD,205 RUE HENRI REGNAULT,59100,COLLEGE,Oui,Non,"255,7323304",QP059083,BONNE
0594394F,Hauts de France,59,59599,TOURCOING,COLLEGE,MARIE CURIE,70 RUE DES URSULINES,59203,COLLEGE,Non,Oui,"138,2580229",QP059090,BONNE
0592714E,Hauts de France,59,59599,TOURCOING,COLLEGE,MENDES-FRANCE,19 RUE DE SOISSONS,59203,COLLEGE,Oui,Non,"160,9098908",QP059087,BONNE
0594293W,Hauts de France,59,59599,TOURCOING,COLLEGE,ALBERT ROUSSEL,87 RUE DE GUISNES,59203,COLLEGE,Oui,Non,"193,5790474",QP059086,BONNE
0593680E,Hauts de France,59,59606,VALENCIENNES,COLLEGE,CHASSE ROYALE,RUE LOMPREZ,59322,COLLEGE,Oui,Non,0,QP059030,BONNE
0594524X,Hauts de France,59,59648,WATTIGNIES,COLLEGE,JEAN MOULIN,6 RUE ROLAND GARROS,59635,COLLEGE,Non,Oui,"62,04235531",QP059089,MOYENNE
0595169Y,Hauts de France,59,59650,WATTRELOS,COLLEGE,EMILE ZOLA,174 RUE DE LA BAILLERIE,59391,COLLEGE,Non,Oui,"105,0075533",QP059091,BONNE
0593242D,Hauts de France,59,59650,WATTRELOS,COLLEGE,GUSTAVE NADAUD,1 RUE DU SYNDICAT,59150,COLLEGE,Non,Oui,"175,9391742",QP059082,BONNE
0590238N,Hauts de France,59,59654,WAZIERS,COLLEGE,ROMAIN ROLLAND,ALL+E GEORGES LARUE,59119,COLLEGE,Non,Oui,"143,6212485",QP059007,MOYENNE
0601190T,Hauts de France,60,60057,BEAUVAIS,COLLEGE,CHARLES FAUQUEUX,35 RUE LOUIS ROGER,60000,COLLEGE,Oui,Non,"102,0159864",QP060009,MOYENNE
0600007G,Hauts de France,60,60057,BEAUVAIS,COLLEGE,HENRI BAUMONT,36 RUE DU 8 MAI 1945,60000,COLLEGE,Oui,Non,"110,2273465",QP060011,BONNE
0601524F,Hauts de France,60,60159,COMPIEGNE,COLLEGE,ANDRE MALRAUX,2 RUE ANDRE MALRAUX,60200,COLLEGE,Oui,Non,"67,89527826",QP060006,BONNE
0600022Y,Hauts de France,60,60175,CREIL,COLLEGE,GABRIEL HAVEZ,1 BOULEVARD GABRIEL HAVEZ,60107,COLLEGE,Oui,Non,"66,68434133",QP060001,BONNE
0601177D,Hauts de France,60,60175,CREIL,COLLEGE,JEAN JACQUES ROUSSEAU,3 RUE DU VALOIS,60107,COLLEGE,Non,Oui,"80,41719219",QP060001,BONNE
0601191U,Hauts de France,60,60395,MERU,COLLEGE,DU THELLE,2 RUE JULES FERRY,60110,COLLEGE,Non,Oui,"116,6799811",QP060013,BONNE
0601178E,Hauts de France,60,60414,MONTATAIRE,COLLEGE,ANATOLE FRANCE,1 RUE DES CHAMPARTS,60160,COLLEGE,Oui,Non,"81,41275082",QP060002,BONNE
0601297J,Hauts de France,60,60471,NOYON,COLLEGE,LOUIS PASTEUR,143 RUE JEAN  MOULIN,60402,COLLEGE,Non,Oui,"240,4059954",QP060018,BONNE
0601821D,Hauts de France,60,60684,VILLERS ST PAUL,COLLEGE,EMILE LAMBERT,RUE CHARLES NOTAIRE,60870,COLLEGE,Non,Oui,"131,7575352",QP060005,BONNE
0611026J,Normandie,61,61001,ALENCON,COLLEGE,LOUISE MICHEL,36 RUE DE L'ABBE LETACQ,61000,COLLEGE,Oui,Non,"51,59775599",QP061006,BONNE
0622094P,Hauts de France,62,62014,AIRE SUR LA LYS,COLLEGE,JEAN JAURES,26 RUE JEAN JAURES,62922,COLLEGE,Non,Oui,"265,9338869",QP062058,BONNE
0622789V,Hauts de France,62,62041,ARRAS,COLLEGE,CHARLES PEGUY,RUE ALBERT CAMUS,62000,COLLEGE,Non,Oui,0,QP062061,BONNE
0623313P,Hauts de France,62,62048,AUCHEL,COLLEGE,LAVOISIER,99 RUE JEAN JAURES,62260,COLLEGE,Non,Oui,0,QP062004,BONNE
0620021L,Hauts de France,62,62048,AUCHEL,COLLEGE,SEVIGNE,19 BOULEVARD EMILE BASLY,62260,COLLEGE,Non,Oui,"249,9426679",QP062015,BONNE
0622420U,Hauts de France,62,62065,AVION,COLLEGE,PAUL LANGEVIN,2 RUE PAUL ELUARD,62210,COLLEGE,Oui,Non,0,QP062019,BONNE
0622425Z,Hauts de France,62,62119,BETHUNE,COLLEGE,PAUL VERLAINE,2 RUE PAUL VERLAINE,62406,COLLEGE,Non,Oui,"44,21082898",QP062008,BONNE
0623314R,Hauts de France,62,62178,BRUAY LA BUISSIERE,COLLEGE,SIMONE SIGNORET,RUE CHARLES MARLARD,62702,COLLEGE,Non,Oui,"15,97064117",QP062011,MOYENNE
0620198D,Hauts de France,62,62178,BRUAY LA BUISSIERE,COLLEGE,ALBERT CAMUS,PLACE HENRI BODELOT,62700,COLLEGE,Non,Oui,"188,0351036",QP062011,MOYENNE
0622273J,Hauts de France,62,62193,CALAIS,COLLEGE,LUCIEN VADEZ,RUE YERVANT TOUMANIANTZ,62228,COLLEGE,Oui,Non,0,QP062056,MOYENNE
0622576N,Hauts de France,62,62193,CALAIS,COLLEGE,VAUBAN,372 RUE D'ORLEANSVILLE,62100,COLLEGE,Oui,Non,0,QP062055,BONNE
0623918X,Hauts de France,62,62193,CALAIS,COLLEGE,MARTIN LUTHER KING,RUE PASTEUR MARTIN LUTHER KING,62228,COLLEGE,Oui,Non,0,QP062056,MOYENNE
0622943M,Hauts de France,62,62249,COURCELLES LES LENS,COLLEGE,ADULPHE DELEGORGUE,AVENUE CLOVIS ENVENT,62970,COLLEGE,Non,Oui,"171,1211356",QP062038,BONNE
0622572J,Hauts de France,62,62318,ETAPLES,COLLEGE,JEAN JAURES,1 AVENUE DU MONT LEVIN,62630,COLLEGE,Non,Oui,0,QP062059,BONNE
0620096T,Hauts de France,62,62427,HENIN BEAUMONT,COLLEGE,JEAN MACE,RUE DU CAPITAINE BONNELLES,62252,COLLEGE,Non,Oui,"11,59269446",QP062041,MOYENNE
0622418S,Hauts de France,62,62498,LENS,COLLEGE,JEAN ZAY,3 RUE ROBERT SCHUMAN,62335,COLLEGE,Oui,Non,"120,7249423",QP062024,BONNE
0620119T,Hauts de France,62,62510,LIEVIN,COLLEGE,PIERRE ET MARIE CURIE,1503 RUE EMILE ZOLA,62800,COLLEGE,Non,Oui,"234,4882535",QP062028,BONNE
0622799F,Hauts de France,62,62516,LILLERS,COLLEGE,LEO LAGRANGE,RUE DE SAINT VENANT,62192,COLLEGE,Non,Oui,"23,6715248",QP062057,BONNE
0622087G,Hauts de France,62,62563,MAZINGARBE,COLLEGE,BLAISE PASCAL,RUE DU CHAT NOIR,62670,COLLEGE,Non,Oui,"28,9862066",QP062020,MOYENNE
0622095R,Hauts de France,62,62667,LE PORTEL,COLLEGE,JEAN MOULIN,97 BOULEVARD DE LA LIBERTE,62480,COLLEGE,Non,Oui,"107,5896859",QP062054,MOYENNE
0622578R,Hauts de France,62,62737,SAINS EN GOHELLE,COLLEGE,JEAN ROSTAND,12 BOULEVARD DES SPORTS,62114,COLLEGE,Non,Oui,"107,1002363",QP062032,BONNE
0620170Y,Hauts de France,62,62771,SALLAUMINES,COLLEGE,PAUL LANGEVIN,RUE JULES MATTEZ,62430,COLLEGE,Oui,Non,"182,6953798",QP062033,MOYENNE
0631199L,Auvergne-Rhône-Alpes,63,63113,CLERMONT FERRAND,COLLEGE,LA CHARME,4 RUE DE LA CHARME,63100,COLLEGE,Oui,Non,0,QP063004,BONNE
0631522M,Auvergne-Rhône-Alpes,63,63113,CLERMONT FERRAND,COLLEGE,ALBERT CAMUS,RUE DU SOUS MARIN CASABIANCA,63100,COLLEGE,Oui,Non,0,QP063003,BONNE
0631502R,Auvergne-Rhône-Alpes,63,63113,CLERMONT FERRAND,COLLEGE,CHARLES BAUDELAIRE,32 RUE BAUDELAIRE,63000,COLLEGE,Oui,Non,"180,4434449",QP063002,MOYENNE
0640609P,Nouvelle Aquitaine,64,64102,BAYONNE,COLLEGE,ALBERT CAMUS,18 BIS AVENUE SAINTE CROIX,64100,COLLEGE,Non,Oui,"59,02262034",QP064002,BONNE
0650034J,Occitanie,65,65440,TARBES,COLLEGE,PAUL ELUARD,2 RUE MARYSE BASTIE,65016,COLLEGE,Non,Oui,"66,43558629",QP065002,BONNE
0660012E,Occitanie,66,66136,PERPIGNAN,COLLEGE,JOSEPH SEBASTIEN PONS,2 RUE DIAZ,66000,COLLEGE,Oui,Non,0,QP066005,MOYENNE
0660049V,Occitanie,66,66136,PERPIGNAN,COLLEGE,JEAN MOULIN,41 PLACE JEAN MOULIN,66000,COLLEGE,Non,Oui,0,QP066008,BONNE
0660051X,Occitanie,66,66136,PERPIGNAN,COLLEGE,ALBERT CAMUS,27 AVENUE ALBERT CAMUS,66070,COLLEGE,Non,Oui,"43,09236057",QP066010,BONNE
0660016J,Occitanie,66,66136,PERPIGNAN,COLLEGE,LA GARRIGOLE,RUE PASCAL MARIE AGASSE,66000,COLLEGE,Non,Oui,"92,35204912",QP066002,BONNE
0671822S,Grand Est,67,67043,BISCHHEIM,COLLEGE,LAMARTINE,9 RUE LAMARTINE,67800,COLLEGE,Non,Oui,0,QP067004,BONNE
0670065G,Grand Est,67,67447,SCHILTIGHEIM,COLLEGE,LECLERC,9 AVENUE DU 23 NOVEMBRE,67300,COLLEGE,Non,Oui,"22,05965361",QP067004,BONNE
0670066H,Grand Est,67,67447,SCHILTIGHEIM,COLLEGE,ROUGET DE LISLE,1 RUE DU BEARN,67300,COLLEGE,Non,Oui,"88,97977004",QP067008,BONNE
0671692A,Grand Est,67,67482,STRASBOURG,COLLEGE,SOLIGNAC,16 RUE LOUIS BRAILLE,67089,COLLEGE,Oui,Non,0,QP067016,BONNE
0671825V,Grand Est,67,67482,STRASBOURG,COLLEGE,FRANCOIS TRUFFAUT,80 AVENUE RACINE,67200,COLLEGE,Oui,Non,0,QP067011,BONNE
0672459J,Grand Est,67,67482,STRASBOURG,COLLEGE,ERASME,40 BOULEVARD VICTOR HUGO,67033,COLLEGE,Oui,Non,0,QP067011,BONNE
0671590P,Grand Est,67,67482,STRASBOURG,COLLEGE,SOPHIE GERMAIN,50 RUE DU RIETH,67087,COLLEGE,Non,Oui,"85,03641426",QP067013,BONNE
0671508A,Grand Est,67,67482,STRASBOURG,COLLEGE,JACQUES TWINGER,10 RUE OVIDE,67200,COLLEGE,Non,Oui,"130,563981",QP067009,BONNE
0670105A,Grand Est,67,67482,STRASBOURG,COLLEGE,LEZAY MARNESIA,16 RUE DU POITOU,67100,COLLEGE,Oui,Non,"147,8499575",QP067016,BONNE
0671907J,Grand Est,67,67482,STRASBOURG,COLLEGE,HANS ARP,16 RUE VAN EYCK,67200,COLLEGE,Oui,Non,"234,749486",QP067014,BONNE
0680084X,Grand Est,68,68066,COLMAR,COLLEGE,MOLIERE,36 AVENUE DE PARIS,68025,COLLEGE,Oui,Non,0,QP068002,BONNE
0680110A,Grand Est,68,68224,MULHOUSE,COLLEGE,JEAN MACE,1 RUE JEAN FRANCOIS MILLET,68093,COLLEGE,Oui,Non,0,QP068003,BONNE
0680111B,Grand Est,68,68224,MULHOUSE,COLLEGE,SAINT-EXUPERY,11 RUE DU LANGUEDOC,68090,COLLEGE,Oui,Non,0,QP068006,BONNE
0681284B,Grand Est,68,68224,MULHOUSE,COLLEGE,WOLF,4 RUE DE LA BELETTE,68100,COLLEGE,Oui,Non,0,QP068005,BONNE
0681127F,Grand Est,68,68224,MULHOUSE,COLLEGE,BOURTZWILLER,16 RUE DE TOULON,68092,COLLEGE,Oui,Non,"34,06024893",QP068004,BONNE
0680105V,Grand Est,68,68224,MULHOUSE,COLLEGE,KENNEDY,13 AVENUE KENNEDY,68200,COLLEGE,Oui,Non,"45,91184471",QP068005,BONNE
0693834T,Auvergne-Rhône-Alpes,69,69029,BRON,COLLEGE,THEODORE MONOD,34 AVENUE JEAN JAURES,69500,COLLEGE,Non,Oui,"81,01184453",QP069010,BONNE
0691479H,Auvergne-Rhône-Alpes,69,69029,BRON,COLLEGE,JOLIOT CURIE,10 RUE DE LA PAGERE,69671,COLLEGE,Non,Oui,"192,5216197",QP069011,BONNE
0691483M,Auvergne-Rhône-Alpes,69,69091,GIVORS,COLLEGE,LUCIE AUBRAC,5 RUE DE DOBELN,69700,COLLEGE,Non,Oui,"226,8823652",QP069039,BONNE
0692342W,Auvergne-Rhône-Alpes,69,69199,ST FONS,COLLEGE,ALAIN,1 RUE DE VALENCE,69190,COLLEGE,Oui,Non,"37,94227534",QP069015,BONNE
0690249W,Auvergne-Rhône-Alpes,69,69256,VAULX EN VELIN,COLLEGE,PIERRE VALDO,11 CHEMIN CLAUDE DEBUSSY,69515,COLLEGE,Oui,Non,0,QP069018,BONNE
0691666L,Auvergne-Rhône-Alpes,69,69256,VAULX EN VELIN,COLLEGE,AIME CESAIRE,2 RUE DES FRERES BERTRAND,69120,COLLEGE,Oui,Non,"41,99317262",QP069018,BONNE
0692336P,Auvergne-Rhône-Alpes,69,69256,VAULX EN VELIN,COLLEGE,HENRI BARBUSSE,10 AVENUE HENRI BARBUSSE,69511,COLLEGE,Oui,Non,"54,46107475",QP069018,BONNE
0691793Z,Auvergne-Rhône-Alpes,69,69256,VAULX EN VELIN,COLLEGE,JACQUES DUCLOS,91 RUE DE LA POUDRETTE,69120,COLLEGE,Oui,Non,"197,604133",QP069022,BONNE
0692343X,Auvergne-Rhône-Alpes,69,69259,VENISSIEUX,COLLEGE,ELSA TRIOLET,3 AVENUE DIVISION LECLERC,69694,COLLEGE,Oui,Non,0,QP069015,BONNE
0690094C,Auvergne-Rhône-Alpes,69,69259,VENISSIEUX,COLLEGE,JULES MICHELET,3 AVENUE JEAN MOULIN,69634,COLLEGE,Oui,Non,"66,39595997",QP069015,BONNE
0691730F,Auvergne-Rhône-Alpes,69,69259,VENISSIEUX,COLLEGE,PAUL ELUARD,3 RUE GEORGES LYVET,69694,COLLEGE,Oui,Non,"86,18105608",QP069015,BONNE
0691480J,Auvergne-Rhône-Alpes,69,69259,VENISSIEUX,COLLEGE,HONORE DE BALZAC,56 RUE ERNEST RENAN,69694,COLLEGE,Non,Oui,"185,9747094",QP069035,BONNE
0692337R,Auvergne-Rhône-Alpes,69,69266,VILLEURBANNE,COLLEGE,LAMARTINE,26 RUE LOUIS TEILLON,69100,COLLEGE,Oui,Non,"26,53665774",QP069022,BONNE
0692157V,Auvergne-Rhône-Alpes,69,69275,DECINES CHARPIEU,COLLEGE,GEORGES BRASSENS,50  RUE SULLY,69150,COLLEGE,Non,Oui,"31,9748061",QP069026,BONNE
0691498D,Auvergne-Rhône-Alpes,69,69286,RILLIEUX LA PAPE,COLLEGE,MARIA CASARES,115 RUE AMPERE,69140,COLLEGE,Oui,Non,"44,80656422",QP069028,BONNE
