Département,zipcode,Commune,ETABLISSEMENT,Code UAI,coordinates
Val-d'Oise,95260,Beaumont-sur-Oise,Jacques Monod,0950933Y,"{""type"":""Point"",""coordinates"":[2.2803,49.1385]}"
Yvelines,78200,Mantes-la-Jolie,Jules Ferry,0780708W,"{""type"":""Point"",""coordinates"":[1.71205,48.9938]}"
Yvelines,78280,Guyancourt,Les Saules,0781695U,"{""type"":""Point"",""coordinates"":[2.0548,48.7825]}"
Deux-Sèvres,79000,Niort,Jean Zay,0790027A,"{""type"":""Point"",""coordinates"":[-0.477675,46.3180802]}"
La Réunion,97430,Le Tampon,Ligne des Bambous,9741346V,"{""type"":""Point"",""coordinates"":[55.513,-21.288]}"
Loiret,45600,Sully-sur-Loire,Maximilien de Sully,0450790P,"{""type"":""Point"",""coordinates"":[2.38599,47.7636]}"
La Réunion,97400,Saint-Denis,Leconte de Lisle,9740091F,"{""type"":""Point"",""coordinates"":[55.4598,-20.898]}"
Martinique,97231,Le Robert,Pontaléry,9720861D,"{""type"":""Point"",""coordinates"":[-60.9342,14.6595]}"
La Réunion,97480,Saint-Joseph,Hippolyte Foucque,9740094J,"{""type"":""Point"",""coordinates"":[55.6245,-21.3746]}"
Guadeloupe,97123,Baillif,Jean Jaurès ,9710041T,"{""type"":""Point"",""coordinates"":[-61.7383,16.0134]}"
Somme,80090,Amiens,Guy Mareschal,0801616X,"{""type"":""Point"",""coordinates"":[2.32946,49.8719]}"
Nièvre,58000,Nevers,Les Loges,0580542Z,"{""type"":""Point"",""coordinates"":[3.1326843,46.9852018]}"
Val-d'Oise,95800,Cergy,Le Moulin à Vent,0951697D,"{""type"":""Point"",""coordinates"":[2.01933,49.0474]}"
Nord (département français)|Nord,59450,Sin-le-Noble,Anatole France,0593185S,"{""type"":""Point"",""coordinates"":[3.1135975,50.3606934]}"
Manche,50480,Sainte-Mère-Église,Saint-Exupéry,0500068C,"{""type"":""Point"",""coordinates"":[-1.3117332,49.4107031]}"
Seine-Saint-Denis,93450,L'Île-Saint-Denis,Alfred Sisley,0931765N,"{""type"":""Point"",""coordinates"":[2.3286376,48.9458835]}"
Guadeloupe,97130,Capesterre-Belle-Eau,Germain Saint-Ruf,9710406P,"{""type"":""Point"",""coordinates"":[-61.5649,16.0517]}"
Guyane,97320,Saint Laurent Du Maroni,Paul Jean-Louis,9730329V,"{""type"":""Point"",""coordinates"":[-54.0311,5.48438]}"
Guyane,97360,Mana,Léo Othily,9730192W,"{""type"":""Point"",""coordinates"":[-53.7807,5.67116]}"
Haute-Corse,20228,Luri,du Cap,7200027S,"{""type"":""Point"",""coordinates"":[9.40521,42.8966]}"
La Réunion,97431,La Plaine-des-Palmistes,Gaston Crochet,9740037X,"{""type"":""Point"",""coordinates"":[55.6294,-21.1363]}"
Mayotte,97620,Chirongui,Marcel Henry,9760042S,"{""type"":""Point"",""coordinates"":[45.1507,-12.935]}"
Hérault,34400,Lunel,Ambrussum,0341825Z,"{""type"":""Point"",""coordinates"":[4.13923,43.6906]}"
Guadeloupe,97110,Pointe-à-Pitre,Front de Mer,9710686U,"{""type"":""Point"",""coordinates"":[-61.5406,16.2482]}"
Somme,80420,Flixecourt,Alfred Manessier,0801487G,"{""type"":""Point"",""coordinates"":[2.0766024,50.009869]}"
Yonne,89100,Sens,Champs Plaisants,0890790A,"{""type"":""Point"",""coordinates"":[3.3031417,48.1927377]}"
Guadeloupe,97139,Les Abymes,Alexandre Isaac,9710710V,"{""type"":""Point"",""coordinates"":[-61.5042,16.2772]}"
Paris,75018,Paris,Daniel Mayer,0755030K,"{""type"":""Point"",""coordinates"":[2.364276,48.8931094]}"
Essonne,91000,Évry,Paul Éluard,0911865H,"{""type"":""Point"",""coordinates"":[2.4432618,48.6231725]}"
Seine-Saint-Denis,93100,Montreuil,Cesaria Evora,0932529Y,"{""type"":""Point"",""coordinates"":[2.4603636,48.8665083]}"
Moselle,57050,Metz,Jean Rostand,0572088K,"{""type"":""Point"",""coordinates"":[6.15593,49.1336]}"
Charente-Maritime,17100,Saintes,Edgar Quinet,0170063B,"{""type"":""Point"",""coordinates"":[-0.6522237,45.7370005]}"
Yvelines,78310,Maurepas,Alexandre Dumas,0780720J,"{""type"":""Point"",""coordinates"":[1.9457277,48.7701707]}"
Moselle,57070,Metz,Jules Lagneau,0570069R,"{""type"":""Point"",""coordinates"":[6.1977326,49.1195742]}"
La Réunion,97440,Saint-André,Chemin Morin,9741386N,"{""type"":""Point"",""coordinates"":[55.6466,-20.9693]}"
Pas-de-Calais,62670,Mazingarbe,Blaise Pascal,0622087G,"{""type"":""Point"",""coordinates"":[2.7199,50.4607]}"
Pas-de-Calais,62740,Fouquières-lès-Lens,Émile Zola,0622098U,"{""type"":""Point"",""coordinates"":[2.91805,50.4288]}"
Pas-de-Calais,62110,Hénin-Beaumont,Jean Macé,0620096T,"{""type"":""Point"",""coordinates"":[2.9382849,50.4111756]}"
Pas-de-Calais,62114,Sains-en-Gohelle,Jean Rostand,0622578R,"{""type"":""Point"",""coordinates"":[2.6826019,50.4448194]}"
Seine-Maritime,76650,Petit-Couronne,Louis Pasteur,0760086F,"{""type"":""Point"",""coordinates"":[1.02713,49.3899]}"
Hérault,34070,Montpellier,Croix d'Argent ,0340053Y,"{""type"":""Point"",""coordinates"":[3.86864,43.5901]}"
Pas-de-Calais,62280,Saint-Martin-Boulogne,Roger Salengro,0622434J,"{""type"":""Point"",""coordinates"":[1.6304416,50.727689]}"
Aisne,02130,Fère-en-Tardenois,Anne de Montmorency,0021826Z,"{""type"":""Point"",""coordinates"":[3.5068935,49.1990036]}"
Val-d'Oise,95360,Montmagny,Maurice Utrillo,0951909J,"{""type"":""Point"",""coordinates"":[2.3392081,48.9646919]}"
Hérault,34070,Montpellier,Fontcarrade,0340051W,"{""type"":""Point"",""coordinates"":[3.8543737,43.6077224]}"
Charente,16000,Angoulême,Marguerite de Valois,0160884Z,"{""type"":""Point"",""coordinates"":[0.175938,45.6545]}"
Pas-de-Calais,62640,Montigny-en-Gohelle,Youri Gagarine,0622423X,"{""type"":""Point"",""coordinates"":[2.931794,50.4309532]}"
Pas-de-Calais,62290,Nœux-les-Mines,Anatole France,0622269E,"{""type"":""Point"",""coordinates"":[2.6618084,50.4713892]}"
Somme,80430,Beaucamps-le-Vieux,Maréchal Leclerc de Hauteclocque,0800018K,"{""type"":""Point"",""coordinates"":[1.7847664,49.8406929]}"
Oise,60180,Nogent-sur-Oise,Edouard Herriot,0601191U,"{""type"":""Point"",""coordinates"":[2.4501524,49.2679062]}"
Oise,60180,Nogent-sur-Oise,Marcelin Berthelot,0600036N,"{""type"":""Point"",""coordinates"":[2.476092,49.281019]}"
Aisne,02400,Château-Thierry,Jean Rostand,0601821D,"{""type"":""Point"",""coordinates"":[3.3841019,49.0588604]}"
Aisne,02170,Le Nouvion-en-Thiérache,Colbert Quentin,0021518P,"{""type"":""Point"",""coordinates"":[3.7827453,50.0104102]}"
Aisne,02100,Saint-Quentin,Jean Moulin,0020039G,"{""type"":""Point"",""coordinates"":[3.2730192,49.8382171]}"
Aisne,02100,Saint-Quentin,Marthe Lefèvre,0020076X,"{""type"":""Point"",""coordinates"":[3.3230307,49.8366217]}"
Loir-et-Cher,41000,Blois,François Rabelais,0410952M,"{""type"":""Point"",""coordinates"":[1.3174938,47.5947918]}"
Seine-Maritime,76700,Gonfreville-l'Orcher,Gustave Courbet,0761954L,"{""type"":""Point"",""coordinates"":[0.232074,49.5069]}"
Moselle,57790,Lorquin,des Deux Sarres,0570328X,"{""type"":""Point"",""coordinates"":[6.9967,48.6692]}"
Sarthe,72300,Sablé-sur-Sarthe,Simone Veil,0720989J,"{""type"":""Point"",""coordinates"":[-0.3224444,47.8321145]}"
Vendée,85770,L'Île-d'Elle,Golfe des Pictons,0850014D,"{""type"":""Point"",""coordinates"":[-0.9498022,46.3288063]}"
Ille-et-Vilaine,35120,Dol-de-Bretagne,Paul Feval,0350708E,"{""type"":""Point"",""coordinates"":[-1.7652453,48.5391702]}"
Côtes-d'Armor,22210,Plémet,Louis Guilloux,0221037H,"{""type"":""Point"",""coordinates"":[-2.5960824,48.1749666]}"
Vendée,85200,Fontenay-le-Comte,André Tiraqueau,0850067L,"{""type"":""Point"",""coordinates"":[-0.7790623,46.463034]}"
Seine-Maritime,76800,Saint-Étienne-du-Rouvray,Paul Éluard,0761647C,"{""type"":""Point"",""coordinates"":[1.0993205,49.3914381]}"
Vendée,85350,Île d'Yeu,Les Sicardières,0850015E,"{""type"":""Point"",""coordinates"":[-2.3516402,46.7166775]}"
Loire-Atlantique,44290,Guémené-Penfao,Bellevue,0440013A,"{""type"":""Point"",""coordinates"":[-1.8193548,47.6274805]}"
Eure,27100,Le Vaudreuil,Michel de Montaigne ,0271632C,"{""type"":""Point"",""coordinates"":[1.20531,49.2596]}"
Pyrénées-Atlantiques,64000,Pau,Pierre Emmanuel,0642095E,"{""type"":""Point"",""coordinates"":[-0.3620633,43.3048542]}"
Nord (département français)|Nord,59192,Beuvrages,Paul Éluard,0594301E,"{""type"":""Point"",""coordinates"":[3.5012001,50.3856198]}"
Paris,75018,Paris,Marie Curie,0754706H,"{""type"":""Point"",""coordinates"":[2.3506509,48.8933597]}"
Lot-et-Garonne,47110,Sainte-Livrade-sur-Lot,Paul Froment,0470102F,"{""type"":""Point"",""coordinates"":[0.5978916,44.4018999]}"
Lot-et-Garonne,47300,Villeneuve-sur-Lot,Anatole France,0470049Y,"{""type"":""Point"",""coordinates"":[0.7186071,44.4072491]}"
Eure,27200,Vernon,Cervantès,0271289E,"{""type"":""Point"",""coordinates"":[1.49576,49.075]}"
Calvados,14200,Hérouville-Saint-Clair,Nelson Mandela,0141363F,"{""type"":""Point"",""coordinates"":[-0.3451936,49.2011319]}"
Calvados,14200,Hérouville-Saint-Clair,Pierre Varignon,0141136J,"{""type"":""Point"",""coordinates"":[-0.3325272,49.197154]}"
Manche,50550,Quettehou,Guillaume Fouace,0501300S,"{""type"":""Point"",""coordinates"":[-1.2721151,49.5895874]}"
Manche,50190,Périers,Le Fairage,0500053L,"{""type"":""Point"",""coordinates"":[-1.4032271,49.1840439]}"
Manche,50800,Villedieu-les-Poêles,Le Dinandier,0500083U,"{""type"":""Point"",""coordinates"":[-1.2189707,48.8399828]}"
Seine-Maritime,76530,Grand-Couronne,Henri Matisse,0762080Y,"{""type"":""Point"",""coordinates"":[1.0010718,49.350579]}"
Seine-Maritime,76620,Le Havre,Claude Bernard,0761697G,"{""type"":""Point"",""coordinates"":[0.104834,49.5182611]}"
Seine-Maritime,76140,Le Petit-Quevilly,Denis Diderot,0761737A,"{""type"":""Point"",""coordinates"":[1.0584744,49.4211553]}"
Seine-Maritime,76140,Le Petit-Quevilly,Fernand Léger,0761949F,"{""type"":""Point"",""coordinates"":[1.0648719,49.4284768]}"
Seine-Maritime,76800,Saint-Étienne-du-Rouvray,Louise Michel,0761777U,"{""type"":""Point"",""coordinates"":[1.084421,49.3941154]}"
Seine-Maritime,76800,Saint-Étienne-du-Rouvray,Pablo Picasso,0762133F,"{""type"":""Point"",""coordinates"":[1.1051055,49.3783411]}"
Ille-et-Vilaine,35460,Val-Couesnon,Pierre Perrin,0350052S,"{""type"":""Point"",""coordinates"":[-1.4739314,48.423752]}"
Lot-et-Garonne,47000,Lot-et-Garonne,Ducos du Hauron,04770677F,"{""type"":""Point"",""coordinates"":[0.6312913,44.1950491]}"
Seine-Maritime,76320,Saint-Pierre-lès-Elbeuf,Jacques-Yves Cousteau,0762919K,"{""type"":""Point"",""coordinates"":[1.0242187,49.2776376]}"
Bouches-du-Rhône,13010,Marseille,Louise Michel,0134022B,"{""type"":""Point"",""coordinates"":[5.409786,43.2759394]}"
Bouches-du-Rhône,13130,Berre-l'Étang,Fernand Léger,0131705H,"{""type"":""Point"",""coordinates"":[5.1588346,43.4878348]}"
Bouches-du-Rhône,13090,Aix-en-Provence,Jas de Bouffan,0310007M,"{""type"":""Point"",""coordinates"":[5.4210623,43.5256926]}"
Charente-Maritime,17000,La Rochelle,Fabre d'Églantine,0171117X,"{""type"":""Point"",""coordinates"":[-1.11683,46.1519]}"
Bouches-du-Rhône,13400,Aubagne,Lou Garlaban,0132412B,"{""type"":""Point"",""coordinates"":[5.5486019,43.2809909]}"
Bouches-du-Rhône,13006,Marseille,Anatole France,0132561N,"{""type"":""Point"",""coordinates"":[5.37696,43.2905764]}"
Deux-Sèvres,79290,Bouillé-Loretz,Molière,0790004A,"{""type"":""Point"",""coordinates"":[-0.275901,47.0805]}"
Bouches-du-Rhône,13011,Marseille,François Villon,0132403S,"{""type"":""Point"",""coordinates"":[5.4633687,43.2856595]}"
Bouches-du-Rhône,13013,Marseille,Jean Giono,0132314V,"{""type"":""Point"",""coordinates"":[5.4365375,43.3355508]}"
Bouches-du-Rhône,13500,Martigues,Marcel Pagnol,0132208E,"{""type"":""Point"",""coordinates"":[5.03832,43.4147]}"
Loiret,45120,Châlette-sur-Loing,Paul Éluard,0450840U,"{""type"":""Point"",""coordinates"":[2.7067513,48.0052245]}"
Bouches-du-Rhône,13110,Port-de-Bouc,Paul Éluard,0132322D,"{""type"":""Point"",""coordinates"":[4.9945632,43.4118982]}"
Bouches-du-Rhône,13230,Port-Saint-Louis-du-Rhône,Maximilien Robespierre,0132323E,"{""type"":""Point"",""coordinates"":[4.8018645,43.3958006]}"
Bouches-du-Rhône,13730,Saint-Victoret,Jacques Prévert,0132007L,"{""type"":""Point"",""coordinates"":[5.2309728,43.4168708]}"
Bouches-du-Rhône,13300,Salon-de-Provence,Jean Moulin,0131265E,"{""type"":""Point"",""coordinates"":[5.1040292,43.6444793]}"
Var,83200,Le Revest-les-Eaux,Pierre Puget,0830069Z,"{""type"":""Point"",""coordinates"":[5.9109671,43.1274885]}"
Gard,30110,La Grand-Combe,Léo Larguier,0301012M,"{""type"":""Point"",""coordinates"":[4.0304333,44.2099974]}"
Paris,75018,Paris,Aimé Césaire,0755433Y,"{""type"":""Point"",""coordinates"":[2.3618942,48.887586]}"
Tarn,81200,Aiguefonde,Marcel Pagnol,0810127Y,"{""type"":""Point"",""coordinates"":[2.3689501,43.4921426]}"
Loiret,45140,Saint-Jean-de-la-Ruelle,Max Jacob,0450069F,"{""type"":""Point"",""coordinates"":[1.877788,47.917733]}"
Indre-et-Loire,37700,Saint-Pierre-des-Corps,Stalingrad,0371391L,"{""type"":""Point"",""coordinates"":[0.7297111,47.3901821]}"
Eure-et-Loir,28110,Eure-et-Loir,Les Petits Sentiers,0280657M,"{""type"":""Point"",""coordinates"":[1.4550193,48.4333201]}"
Eure-et-Loir,28400,Nogent-le-Rotrou,Pierre Brossolette,0280924C,"{""type"":""Point"",""coordinates"":[0.7993682,48.3239759]}"
Bouches-du-Rhône,13660,Orgon,Mont-Sauvy,0132217P,"{""type"":""Point"",""coordinates"":[5.03047,43.7944]}"
Bouches-du-Rhône,13016,Marseille 16e Arrondissement,L'Estaque,0131757P,"{""type"":""Point"",""coordinates"":[5.33135,43.3599]}"
Bouches-du-Rhône,13010,Marseille,Pont de Vivaux,0132204A,"{""type"":""Point"",""coordinates"":[5.4170605,43.2772337]}"
Loir-et-Cher,41200,Romorantin-Lanthenay,Léonard de Vinci,0410793P,"{""type"":""Point"",""coordinates"":[1.7467994,47.3519165]}"
Gironde,33350,Castillon-la-Bataille,Aliénor d'Aquitaine,0330064R,"{""type"":""Point"",""coordinates"":[-0.0506662,44.8511174]}"
Gironde,33920,Saint-Yzan-de-Soudiac,du Val de Saye,0331888Y,"{""type"":""Point"",""coordinates"":[-0.4108063,45.139542]}"
Gironde,33100,Bordeaux,Jacques Ellul,0332285E,"{""type"":""Point"",""coordinates"":[-0.541399,44.8444]}"
Dordogne,24360,Piégut-Pluviers,Les Marches de l'Occitanie,0240043S,"{""type"":""Point"",""coordinates"":[0.6875606,45.6252575]}"
Indre-et-Loire,37300,Joué-lès-Tours,Arche du Lude,0370791J,"{""type"":""Point"",""coordinates"":[0.6507415,47.3464715]}"
Tarn,81200,Aiguefonde,Jean-Louis Étienne,0810126X,"{""type"":""Point"",""coordinates"":[2.381934,43.50587]}"
Charente,16270,Roumazières-Loubert,Jean Michaud,0160793A,"{""type"":""Point"",""coordinates"":[0.5846458,45.8870299]}"
Gironde,33340,Lesparre-Médoc,Les Lesques,0331891B,"{""type"":""Point"",""coordinates"":[-0.9267993,45.3001149]}"
Deux-Sèvres,79140,Cerizay,Georges Clemenceau,0790945Y,"{""type"":""Point"",""coordinates"":[-0.671119,46.8204]}"
Gironde,33220,Sainte-Foy-la-Grande,Élie Faure,0330163Y,"{""type"":""Point"",""coordinates"":[0.2031581,44.8426119]}"
Dordogne,24120,Terrasson-Lavilledieu,Jules Ferry,0240037K,"{""type"":""Point"",""coordinates"":[1.2986133,45.1320934]}"
Landes,40000,Mont-de-Marsan,Victor Duruy,0400648M,"{""type"":""Point"",""coordinates"":[-0.5007513,43.8973628]}"
Ardennes,08120,Bogny-sur-Meuse,Jules Ferry,0080105W,"{""type"":""Point"",""coordinates"":[4.7351102,49.8539869]}"
Ardennes,08000,Charleville-Mézières,Fred Scamaroni,0080079T,"{""type"":""Point"",""coordinates"":[4.6933884,49.7660277]}"
Ardennes,08000,Charleville-Mézières,Rouget de Lisle,0080068F,"{""type"":""Point"",""coordinates"":[4.7175965,49.7867539]}"
Gironde,33100,Bordeaux,Léonard Lenoir,0331618E,"{""type"":""Point"",""coordinates"":[-0.553824,44.8415]}"
Dordogne,24410,Saint-Aulaye,Dronne-Double,0240055E,"{""type"":""Point"",""coordinates"":[0.1334092,45.199617]}"
Deux-Sèvres,79000,Niort,Pierre et Marie Curie,0790052C,"{""type"":""Point"",""coordinates"":[-0.4538371,46.3351829]}"
Meurthe-et-Moselle,54810,Longlaville,des Trois Frontières,0541578X,"{""type"":""Point"",""coordinates"":[5.79869,49.5342]}"
Bas-Rhin,67300,Schiltigheim,Rouget de Lisle,0670066H,"{""type"":""Point"",""coordinates"":[7.7688738,48.6088042]}"
La Réunion,97480,Saint-Joseph,La Marine,9741047V,"{""type"":""Point"",""coordinates"":[55.6685,-21.3763]}"
Ardennes,08330,Vrigne-aux-Bois,Pasteur,0080839U,"{""type"":""Point"",""coordinates"":[4.8579526,49.7359324]}"
Aube,10100,Romilly-sur-Seine,Le Noyer Marchand,0100905E,"{""type"":""Point"",""coordinates"":[3.7185137,48.5180075]}"
Aube,10100,Romilly-sur-Seine,Paul Langevin,0100787B,"{""type"":""Point"",""coordinates"":[3.7274115,48.5208009]}"
Bas-Rhin,67300,Schiltigheim,Leclerc,0670065G,"{""type"":""Point"",""coordinates"":[7.7308167,48.6087768]}"
Haute-Marne,52100,Saint-Dizier,Luis Ortiz,0520050X,"{""type"":""Point"",""coordinates"":[4.9659424,48.6383005]}"
Marne,51250,Sermaize-les-Bains,Louis Pasteur,0510052E,"{""type"":""Point"",""coordinates"":[4.9089677,48.7853691]}"
Marne,51300,Vitry-le-François,Les Indes,0511256N,"{""type"":""Point"",""coordinates"":[4.5797755,48.7289077]}"
